web-scraper-order,web-scraper-start-url,img-src,name,Socket,form factor,memory max,memory slots,color,price,link,link-href,rating
"1672961606-177","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/6acd2774192249907129ce16f47594d6.256p.jpg","Gigabyte B650 AORUS PRO AX","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","344.79","Gigabyte B650 AORUS PRO AX         (0)","https://es.pcpartpicker.com/product/6qcG3C/gigabyte-b650-aorus-pro-ax-atx-am5-motherboard-b650-aorus-pro-ax","null"
"1672961608-178","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","https://m.media-amazon.com/images/I/41Zxw3aO2wL.jpg","Biostar Z690GTA","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlue / Black","343.90","Biostar Z690GTA         (0)","https://es.pcpartpicker.com/product/HXFbt6/biostar-z690gta-atx-lga1700-motherboard-z690gta","null"
"1672961610-179","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","https://m.media-amazon.com/images/I/51MFRW6KOYL.jpg","Asus TUF GAMING X670E-PLUS","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack / Orange","343.80","Asus TUF GAMING X670E-PLUS         (0)","https://es.pcpartpicker.com/product/9XjBD3/asus-tuf-gaming-x670e-plus-atx-am5-motherboard-tuf-gaming-x670e-plus","null"
"1672961612-180","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/eab5fc15cc9e87e6fd34515796ab8bd0.256p.jpg","Asus ROG STRIX Z590-I GAMING WIFI","Socket / CPULGA1200","Form FactorMini ITX","64","2","ColorBlack","342.40","Asus ROG STRIX Z590-I GAMING WIFI         (5)","https://es.pcpartpicker.com/product/Hf8bt6/asus-rog-strix-z590-i-gaming-wifi-mini-itx-lga1200-motherboard-rog-strix-z590-i-gaming-wifi","(5 Ratings, 4.8 Average)"
"1672961615-181","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/66e20933210fd30079deced324d28fb5.256p.jpg","Gigabyte B550 VISION D","Socket / CPUAM4","Form FactorATX","128","4","ColorWhite / Black","341.99","Gigabyte B550 VISION D         (15)","https://es.pcpartpicker.com/product/gN7p99/gigabyte-b550-vision-d-atx-am4-motherboard-b550-vision-d","(15 Ratings, 4.4 Average)"
"1672961617-182","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/3fae37f7a08636c4a4c203a47ef30bf3.256p.jpg","ASRock H570M-ITX/ac","Socket / CPULGA1200","Form FactorMini ITX","64","2","ColorSilver / Black","341.51","ASRock H570M-ITX/ac         (2)","https://es.pcpartpicker.com/product/J7WzK8/asrock-h570m-itxac-mini-itx-lga1200-motherboard-h570m-itxac","(2 Ratings, 4.5 Average)"
"1672961619-183","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/62eb8ebae1aed7557705797ec5b2751f.256p.jpg","Supermicro X11SCL-IF","Socket / CPULGA1151","Form FactorMini ITX","64","2","ColorGreen","339.99","Supermicro X11SCL-IF         (0)","https://es.pcpartpicker.com/product/vzJtt6/supermicro-x11scl-if-mini-itx-lga1151-motherboard-mbd-x11scl-if-o","null"
"1672961622-184","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/c75b75e88a785bd88aed00e0e6b9822a.256p.jpg","Asus ROG STRIX Z590-E GAMING WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","335.94","Asus ROG STRIX Z590-E GAMING WIFI         (10)","https://es.pcpartpicker.com/product/q6XJ7P/asus-rog-strix-z590-e-gaming-wifi-atx-lga1200-motherboard-rog-strix-z590-e-gaming-wifi","(10 Ratings, 4.4 Average)"
"1672961624-185","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/3c80a7748098d6f9e23edf27f2d824e2.256p.jpg","ASRock B550 Taichi","Socket / CPUAM4","Form FactorATX","128","4","ColorGold / Black","335.88","ASRock B550 Taichi         (4)","https://es.pcpartpicker.com/product/jKLwrH/asrock-b550-taichi-atx-am4-motherboard-b550-taichi","(4 Ratings, 4.2 Average)"
"1672961626-186","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/b06a90d7ec5a485121a21751cdc3d9b9.256p.jpg","Asus PRIME X570-PRO","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / White","333.01","Asus PRIME X570-PRO         (52)","https://es.pcpartpicker.com/product/DxrYcf/asus-prime-x570-pro-atx-am4-motherboard-prime-x570-pro","(52 Ratings, 4.5 Average)"
"1672961628-187","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","https://m.media-amazon.com/images/I/51ByrFiyxXL.jpg","ASRock X670E PG Lightning","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","332.90","ASRock X670E PG Lightning         (1)","https://es.pcpartpicker.com/product/42hFf7/asrock-x670e-pg-lightning-atx-am5-motherboard-x670e-pg-lightning","(1 Rating, 4.0 Average)"
"1672961631-188","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/dba3458db505e33cff64c70961c85e68.256p.jpg","Gigabyte Z690 AERO G","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","330.35","Gigabyte Z690 AERO G         (2)","https://es.pcpartpicker.com/product/P6PQzy/gigabyte-z690-aero-g-atx-lga1700-motherboard-z690-aero-g","(2 Ratings, 5.0 Average)"
"1672961633-189","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/f721f4424e3895646ab0d4a4df6eac02.256p.jpg","ASRock Z790 LiveMixer","Socket / CPULGA1700","Form FactorATX","128","4","ColorPurple / Black","330.34","ASRock Z790 LiveMixer         (0)","https://es.pcpartpicker.com/product/6Ynypg/asrock-z790-livemixer-atx-lga1700-motherboard-z790-livemixer","null"
"1672961635-190","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/e2a7c8818d4836e51172d19e5b7ab0f5.256p.jpg","Gigabyte Z690 UD AX","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","330.00","Gigabyte Z690 UD AX         (0)","https://es.pcpartpicker.com/product/VY8bt6/gigabyte-z690-ud-ax-atx-lga1700-motherboard-z690-ud-ax","null"
"1672961638-191","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/46bde6d977d87d005d1ad3256c0745aa.256p.jpg","Biostar Z590 VALKYRIE","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Gold","329.00","Biostar Z590 VALKYRIE         (0)","https://es.pcpartpicker.com/product/tbpzK8/biostar-z590-valkyrie-atx-lga1200-motherboard-z590-valkyrie","null"
"1672961640-192","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/80d11763562e9606ea6b8d00094d45fa.256p.jpg","MSI MPG B650 EDGE WIFI","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack / Silver","326.67","MSI MPG B650 EDGE WIFI         (1)","https://es.pcpartpicker.com/product/wkFbt6/msi-mpg-b650-edge-wifi-atx-am5-motherboard-mpg-b650-edge-wifi","(1 Rating, 5.0 Average)"
"1672961642-193","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/1d0a5cbc317e65088720563bf4261345.256p.jpg","MSI MPG Z590 GAMING CARBON WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","324.89","MSI MPG Z590 GAMING CARBON WIFI         (1)","https://es.pcpartpicker.com/product/w8YmP6/msi-mpg-z590-gaming-carbon-wifi-atx-lga1200-motherboard-mpg-z590-gaming-carbon-wifi","(1 Rating, 5.0 Average)"
"1672961644-194","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/337ab1b8659caaac6b9b11ebd5d986ec.256p.jpg","Asus PRIME Z790-A WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","324.80","Asus PRIME Z790-A WIFI         (1)","https://es.pcpartpicker.com/product/fGrRsY/asus-prime-z790-a-wifi-atx-lga1700-motherboard-prime-z790-a-wifi","(1 Rating, 4.0 Average)"
