web-scraper-order,web-scraper-start-url,img-src,name,Socket,form factor,memory max,memory slots,color,price,link,link-href,rating
"1672961195-1","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/319dae29c77ad8d77a67796eb1315465.256p.jpg","ASRock A320M-HDV R4.0","Socket / CPUAM4","Form FactorMicro ATX","32","2","ColorBlack / White","null","ASRock A320M-HDV R4.0         (4)","https://es.pcpartpicker.com/product/gtPKHx/asrock-a320m-hdv-r40-micro-atx-am4-motherboard-a320m-hdv-r40","(4 Ratings, 4.2 Average)"
"1672961198-2","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/d16e04d394d588e9045d587653cad761.256p.jpg","Asus ROG Strix B450-I Gaming","Socket / CPUAM4","Form FactorMini ITX","64","2","ColorBlack / Silver","null","Asus ROG Strix B450-I Gaming         (60)","https://es.pcpartpicker.com/product/kbx2FT/asus-rog-strix-b450-i-gaming-mini-itx-am4-motherboard-strix-b450-i-gaming","(60 Ratings, 4.6 Average)"
"1672961200-3","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/ba476e86b8d9bbdbc94cd3b59ade76aa.256p.jpg","Gigabyte B450M DS3H WIFI","Socket / CPUAM4","Form FactorMicro ATX","64","4","ColorBrown / Black","null","Gigabyte B450M DS3H WIFI         (11)","https://es.pcpartpicker.com/product/HQVG3C/gigabyte-b450m-ds3h-wifi-micro-atx-am4-motherboard-b450m-ds3h-wifi","(11 Ratings, 3.9 Average)"
"1672961202-4","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/e2424c4cee2b26ab9066cbcc7e236766.256p.jpg","Gigabyte TRX40 AORUS XTREME","Socket / CPUsTRX4","Form FactorXL ATX","256","8","ColorBlack / Silver","null","Gigabyte TRX40 AORUS XTREME         (0)","https://es.pcpartpicker.com/product/Wkwkcf/gigabyte-trx40-aorus-xtreme-xl-atx-strx4-motherboard-trx40-aorus-xtreme","null"
"1672961205-5","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/61-3Dc+m9DL.jpg","MSI B450 Gaming Plus MAX","Socket / CPUAM4","Form FactorATX","128","4","ColorRed / Black","null","MSI B450 Gaming Plus MAX         (35)","https://es.pcpartpicker.com/product/BHBhP6/msi-b450-gaming-plus-max-atx-am4-motherboard-b450-gaming-plus-max","(35 Ratings, 4.6 Average)"
"1672961207-6","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/79687dad482d6163f14752ea4764c5f2.256p.jpg","Asus ROG STRIX Z790-E GAMING WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","null","Asus ROG STRIX Z790-E GAMING WIFI         (1)","https://es.pcpartpicker.com/product/2YM48d/asus-rog-strix-z790-e-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-e-gaming-wifi","(1 Rating, 4.0 Average)"
"1672961209-7","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/08c85837e3736c855a86c6bbbe7fd31c.256p.jpg","Asus ROG STRIX B550-I GAMING","Socket / CPUAM4","Form FactorMini ITX","64","2","ColorBlack","null","Asus ROG STRIX B550-I GAMING         (60)","https://es.pcpartpicker.com/product/XBH8TW/asus-rog-strix-b550-i-gaming-mini-itx-am4-motherboard-rog-strix-b550-i-gaming","(60 Ratings, 4.3 Average)"
"1672961212-8","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/0a8a0ca77620c63b68fec6323537d50a.256p.jpg","MSI B450 TOMAHAWK MAX","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack","null","MSI B450 TOMAHAWK MAX         (228)","https://es.pcpartpicker.com/product/jcYQzy/msi-b450-tomahawk-max-atx-am4-motherboard-b450-tomahawk-max","(228 Ratings, 4.6 Average)"
"1672961214-9","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg","Asus TUF GAMING B650-PLUS WIFI","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","null","Asus TUF GAMING B650-PLUS WIFI         (2)","https://es.pcpartpicker.com/product/Pz2WGX/asus-tuf-gaming-b650-plus-wifi-atx-am5-motherboard-tuf-gaming-b650-plus-wifi","(2 Ratings, 5.0 Average)"
"1672961216-10","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg","MSI PRO B550M-VC WIFI","Socket / CPUAM4","Form FactorMicro ATX","128","4","ColorBlack","null","MSI PRO B550M-VC WIFI         (5)","https://es.pcpartpicker.com/product/tr4Ycf/msi-pro-b550m-vc-wifi-micro-atx-am4-motherboard-pro-b550m-vc-wifi","(5 Ratings, 4.8 Average)"
"1672961218-11","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/51G+lOc7dEL.jpg","Asus TUF GAMING B550-PLUS WIFI II","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Gray","null","Asus TUF GAMING B550-PLUS WIFI II         (7)","https://es.pcpartpicker.com/product/pLNxFT/asus-tuf-gaming-b550-plus-wifi-ii-atx-am4-motherboard-tuf-gaming-b550-plus-wifi-ii","(7 Ratings, 4.9 Average)"
"1672961221-12","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/001b11e828cffd833e978f7a0d9cf4d1.256p.jpg","Gigabyte B550 AORUS ELITE AX V2","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","null","Gigabyte B550 AORUS ELITE AX V2         (18)","https://es.pcpartpicker.com/product/Vb3mP6/gigabyte-b550-aorus-elite-ax-v2-atx-am4-motherboard-b550aorus-elite-axv2","(18 Ratings, 4.4 Average)"
"1672961223-13","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/e28f66dd08c38303d9936eb7ad61e820.256p.jpg","MSI MEG X670E GODLIKE","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack","1652.90","MSI MEG X670E GODLIKE         (0)","https://es.pcpartpicker.com/product/kjmmP6/msi-meg-x670e-godlike-eatx-am5-motherboard-meg-x670e-godlike","null"
"1672961225-14","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/7d4d7c7fab393fed25a5fc13777260fe.256p.jpg","MSI MEG Z790 GODLIKE","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack","1564.00","MSI MEG Z790 GODLIKE         (0)","https://es.pcpartpicker.com/product/Q93gXL/msi-meg-z790-godlike-eatx-lga1700-motherboard-meg-z790-godlike","null"
"1672961228-15","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/41rPmbvqLpL.jpg","Asus ROG MAXIMUS Z690 EXTREME","Socket / CPULGA1700","Form FactorEATX","128","4","Color","1243.89","Asus ROG MAXIMUS Z690 EXTREME         (1)","https://es.pcpartpicker.com/product/sNWzK8/asus-rog-maximus-z690-extreme-eatx-lga1700-motherboard-rog-maximus-z690-extreme","(1 Rating, 3.0 Average)"
"1672961230-16","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/ddbc51f12fde98ab45ca8f9b42bd8c3f.256p.jpg","Gigabyte Z690 AORUS XTREME","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack","1121.06","Gigabyte Z690 AORUS XTREME         (0)","https://es.pcpartpicker.com/product/6wjBD3/gigabyte-z690-aorus-xtreme-eatx-lga1700-motherboard-z690-aorus-xtreme","null"
"1672961232-17","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/879487c4a8edbf36caa7271342e4911d.256p.jpg","Asus ROG CROSSHAIR X670E EXTREME","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack / Silver","1024.77","Asus ROG CROSSHAIR X670E EXTREME         (1)","https://es.pcpartpicker.com/product/MXjBD3/asus-rog-crosshair-x670e-extreme-eatx-am5-motherboard-rog-crosshair-x670e-extreme","(1 Rating, 5.0 Average)"
"1672961235-18","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/0bdeb76dab36d2c0f3871d8000f30052.256p.jpg","Asus ROG MAXIMUS Z790 EXTREME","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack","1019.78","Asus ROG MAXIMUS Z790 EXTREME         (0)","https://es.pcpartpicker.com/product/g36p99/asus-rog-maximus-z790-extreme-eatx-lga1700-motherboard-rog-maximus-z790-extreme","null"
"1672961237-19","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/8cb6c0703f29f646c3ba084b174f78e7.256p.jpg","MSI MEG X670E ACE","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack / Gold","945.90","MSI MEG X670E ACE         (0)","https://es.pcpartpicker.com/product/H4xRsY/msi-meg-x670e-ace-eatx-am5-motherboard-meg-x670e-ace","null"
"1672961239-20","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/f9fccd20c6c786f358e020244f02cc00.256p.jpg","Asus ROG Maximus XIII Extreme","Socket / CPULGA1200","Form FactorEATX","128","4","ColorSilver / Black","929.77","Asus ROG Maximus XIII Extreme         (0)","https://es.pcpartpicker.com/product/txYmP6/asus-rog-maximus-xiii-extreme-eatx-lga1200-motherboard-rog-maximus-xiii-extreme","null"
"1672961242-21","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/51ccnhlDCCL.jpg","EVGA Z690 CLASSIFIED","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack / Silver","928.64","EVGA Z690 CLASSIFIED         (0)","https://es.pcpartpicker.com/product/4bQcCJ/evga-z690-classified-eatx-lga1700-motherboard-121-al-e698-kr","null"
"1672961244-22","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/4375b990c907b011007124f9f15b68eb.256p.jpg","Asus WS X299 SAGE/10G","Socket / CPULGA2066","Form FactorSSI CEB","128","8","ColorBlack / Silver","893.63","Asus WS X299 SAGE/10G         (0)","https://es.pcpartpicker.com/product/grndnQ/asus-ws-x299-sage10g-ssi-ceb-lga2066-motherboard-ws-x299-sage10g","null"
"1672961246-23","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/395eeeedb91f11ec7edfa40688f8f75c.256p.jpg","Asus Pro WS X299 SAGE II","Socket / CPULGA2066","Form FactorSSI CEB","256","8","ColorBlack / Silver","886.00","Asus Pro WS X299 SAGE II         (0)","https://es.pcpartpicker.com/product/zbgQzy/asus-pro-ws-x299-sage-ii-ssi-ceb-lga2066-motherboard-pro-ws-x299-sage-ii","null"
"1672961248-24","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/da2413c76d82ff59705e35c361abdc93.256p.jpg","MSI MEG Z590 GODLIKE","Socket / CPULGA1200","Form FactorEATX","128","4","ColorBlack / Silver","876.00","MSI MEG Z590 GODLIKE         (0)","https://es.pcpartpicker.com/product/KjXJ7P/msi-meg-z590-godlike-eatx-lga1200-motherboard-meg-z590-godlike","null"
"1672961251-25","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/329ba627cbd8de5d7fa1d0b5d9a06fb5.256p.jpg","Asus ROG MAXIMUS IX EXTREME","Socket / CPULGA1151","Form FactorEATX","64","4","ColorBlack / Red","855.00","Asus ROG MAXIMUS IX EXTREME         (1)","https://es.pcpartpicker.com/product/rTKhP6/asus-rog-maximus-ix-extreme-eatx-lga1151-motherboard-maximus-ix-extreme","(1 Rating, 4.0 Average)"
"1672961253-26","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/b6a544cdc9c56b5b1fa513b7c1dc08fc.256p.jpg","Asus ROG MAXIMUS Z690 FORMULA","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","853.38","Asus ROG MAXIMUS Z690 FORMULA         (2)","https://es.pcpartpicker.com/product/cKGbt6/asus-rog-maximus-z690-formula-atx-lga1700-motherboard-rog-maximus-z690-formula","(2 Ratings, 5.0 Average)"
"1672961255-27","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/31a088e94827352e97fcbb47beb198af.256p.jpg","Gigabyte X670E AORUS XTREME (rev. 1.0)","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack","832.00","Gigabyte X670E AORUS XTREME (rev. 1.0)         (0)","https://es.pcpartpicker.com/product/PkxRsY/gigabyte-x670e-aorus-xtreme-rev-10-eatx-am5-motherboard-x670e-aorus-xtreme-rev-10","null"
"1672961258-28","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/51GdT-xcp6S.jpg","Supermicro C9X299-PGF","Socket / CPULGA2066","Form FactorATX","128","8","ColorBlack","815.45","Supermicro C9X299-PGF         (0)","https://es.pcpartpicker.com/product/HqkgXL/supermicro-c9x299-pgf-atx-lga2066-motherboard-mbd-c9x299-pgf-b","null"
"1672961260-29","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://images-na.ssl-images-amazon.com/images/I/61IpIMa2WcL.jpg","ASRock E3C224D4M-16RE","Socket / CPULGA1150","Form FactorATX","32","4","ColorGreen / Blue","785.60","ASRock E3C224D4M-16RE         (0)","https://es.pcpartpicker.com/product/jV7CmG/asrock-motherboard-e3c224d4m16re","null"
"1672961262-30","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/61mb-e8g1bL.jpg","Asus X99-WS/IPMI","Socket / CPULGA2011-3","Form FactorATX","128","8","ColorBlack / Silver","770.00","Asus X99-WS/IPMI         (0)","https://es.pcpartpicker.com/product/gQqbt6/asus-x99-wsipmi-atx-lga2011-3-motherboard-x99-ws-ipmi","null"
"1672961264-31","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/cfafbb7054d4f2f64abf934f6a113552.256p.jpg","Asus ROG Crosshair VIII Extreme","Socket / CPUAM4","Form FactorEATX","128","4","ColorBlack","769.95","Asus ROG Crosshair VIII Extreme         (3)","https://es.pcpartpicker.com/product/qKNxFT/asus-rog-crosshair-viii-extreme-eatx-am4-motherboard-rog-crosshair-viii-extreme","(3 Ratings, 5.0 Average)"
"1672961267-32","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/c2d25873f2d7424f159c1f45e5baf953.256p.jpg","Asus ROG MAXIMUS XII EXTREME","Socket / CPULGA1200","Form FactorEATX","128","4","ColorBlack","768.88","Asus ROG MAXIMUS XII EXTREME         (3)","https://es.pcpartpicker.com/product/trXYcf/asus-rog-maximus-xii-extreme-eatx-lga1200-motherboard-rog-maximus-xii-extreme","(3 Ratings, 5.0 Average)"
"1672961269-33","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/05e4de174a09d66930ef0706d0cec194.256p.jpg","Asus ROG MAXIMUS Z790 HERO","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","749.00","Asus ROG MAXIMUS Z790 HERO         (2)","https://es.pcpartpicker.com/product/LYM48d/asus-rog-maximus-z790-hero-atx-lga1700-motherboard-rog-maximus-z790-hero","(2 Ratings, 4.5 Average)"
"1672961271-34","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","https://m.media-amazon.com/images/I/413I9DBVsKL.jpg","Gigabyte Z490 AORUS XTREME","Socket / CPULGA1200","Form FactorEATX","128","4","ColorBlack / Silver","748.12","Gigabyte Z490 AORUS XTREME         (1)","https://es.pcpartpicker.com/product/shxbt6/gigabyte-z490-aorus-xtreme-eatx-lga1200-motherboard-z490-aorus-xtreme","(1 Rating, 5.0 Average)"
"1672961274-35","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/f556b08b2f92352fe57929ba1628a29f.256p.jpg","ASRock Z590 OC Formula","Socket / CPULGA1200","Form FactorEATX","64","2","ColorGreen / Black","746.64","ASRock Z590 OC Formula         (0)","https://es.pcpartpicker.com/product/xVcG3C/asrock-z590-oc-formula-eatx-lga1200-motherboard-z590-oc-formula","null"
"1672961276-36","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/ce8a4e4e533b9ad5e41cd8ae4ecb27ce.256p.jpg","ASRock X670E Taichi","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack","737.80","ASRock X670E Taichi         (0)","https://es.pcpartpicker.com/product/cm6p99/asrock-x670e-taichi-eatx-am5-motherboard-x670e-taichi","null"
"1672961278-37","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/fc1500861d9fdb521459849de62b11d4.256p.jpg","Asus ROG CROSSHAIR X670E HERO","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack / Silver","713.79","Asus ROG CROSSHAIR X670E HERO         (1)","https://es.pcpartpicker.com/product/kR2WGX/asus-rog-crosshair-x670e-hero-atx-am5-motherboard-rog-crosshair-x670e-hero","(1 Rating, 4.0 Average)"
"1672961281-38","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/243e88f333e879a67012535745b3c383.256p.jpg","ASRock X470D4U2-2T","Socket / CPUAM4","Form FactorMicro ATX","64","4","ColorGreen","679.23","ASRock X470D4U2-2T         (0)","https://es.pcpartpicker.com/product/qPsnTW/asrock-x470d4u2-2t-micro-atx-am4-motherboard-x470d4u2-2t","null"
"1672961283-39","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/d2d0dda2a33aab2b5176111f52e2067c.256p.jpg","ASRock X299 CREATOR","Socket / CPULGA2066","Form FactorATX","256","8","ColorSilver / Black","676.58","ASRock X299 CREATOR         (0)","https://es.pcpartpicker.com/product/mxxbt6/asrock-x299-creator-atx-lga2066-motherboard-x299-creator","null"
"1672961285-40","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/4512c53464fa2014ed6a597b4fe41e00.256p.jpg","ASRock X670E Taichi Carrara","Socket / CPUAM5","Form FactorEATX","128","4","ColorBlack / White","670.02","ASRock X670E Taichi Carrara         (0)","https://es.pcpartpicker.com/product/wHddnQ/asrock-x670e-taichi-carrara-eatx-am5-motherboard-x670e-taichi-carrara","null"
"1672961287-41","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/55792b8af053369509e5935274fdc84c.256p.jpg","ASRock TRX40 TAICHI","Socket / CPUsTRX4","Form FactorATX","256","8","ColorBlack / Silver","660.48","ASRock TRX40 TAICHI         (0)","https://es.pcpartpicker.com/product/BKhmP6/asrock-trx40-taichi-atx-strx4-motherboard-trx40-taichi","null"
"1672961290-42","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/7e4f7ddd1020e66a1d84343950c2f955.256p.jpg","Asus ROG MAXIMUS XII APEX","Socket / CPULGA1200","Form FactorATX","64","2","ColorBlack","659.88","Asus ROG MAXIMUS XII APEX         (1)","https://es.pcpartpicker.com/product/HJZzK8/asus-rog-maximus-xii-apex-atx-lga1200-motherboard-rog-maximus-xii-apex","(1 Rating, 5.0 Average)"
"1672961292-43","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/8ad4f1db3c55cd4fac99785f3507be98.256p.jpg","MSI MEG Z690 ACE","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack / Gold","658.20","MSI MEG Z690 ACE         (1)","https://es.pcpartpicker.com/product/RkRYcf/msi-meg-z690-ace-eatx-lga1700-motherboard-meg-z690-ace","(1 Rating, 5.0 Average)"
"1672961294-44","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/36590754ecaedc708cd647160af63d72.256p.jpg","MSI MPG Z790 CARBON WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","654.00","MSI MPG Z790 CARBON WIFI         (2)","https://es.pcpartpicker.com/product/YhVmP6/msi-mpg-z790-carbon-wifi-atx-lga1700-motherboard-mpg-z790-carbon-wifi","(2 Ratings, 5.0 Average)"
"1672961297-45","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/b1e9cd5d2fc8cbfbf013f21e4505e4a5.256p.jpg","Gigabyte Z690 AORUS TACHYON","Socket / CPULGA1700","Form FactorEATX","64","2","ColorBlack","650.99","Gigabyte Z690 AORUS TACHYON         (0)","https://es.pcpartpicker.com/product/qsPQzy/gigabyte-z690-aorus-tachyon-eatx-lga1700-motherboard-z690-aorus-tachyon","null"
"1672961299-46","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/212a489ab7d6fa7162f084615fa0ba49.256p.jpg","ASRock Z790 Taichi Carrara","Socket / CPULGA1700","Form FactorEATX","128","4","ColorWhite / Black","634.46","ASRock Z790 Taichi Carrara         (0)","https://es.pcpartpicker.com/product/PcJgXL/asrock-z790-taichi-carrara-eatx-lga1700-motherboard-z790-taichi-carrara","null"
"1672961301-47","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/3e4762007b6ce3aed42a5fba22808f41.256p.jpg","Gigabyte Z790 AORUS MASTER","Socket / CPULGA1700","Form FactorEATX","128","4","ColorBlack / Silver","632.90","Gigabyte Z790 AORUS MASTER         (1)","https://es.pcpartpicker.com/product/bQXJ7P/gigabyte-z790-aorus-master-eatx-lga1700-motherboard-z790-aorus-master","(1 Rating, 5.0 Average)"
"1672961304-48","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/200641bc77489636f9c30d0b09f5c041.256p.jpg","Asus ROG MAXIMUS XII FORMULA","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","632.67","Asus ROG MAXIMUS XII FORMULA         (7)","https://es.pcpartpicker.com/product/P9pmP6/asus-rog-maximus-xii-formula-atx-lga1200-motherboard-rog-maximus-xii-formula","(7 Ratings, 5.0 Average)"
"1672961306-49","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/8e37f27d79fb02cde718cc440e739dc0.256p.jpg","ASRock TRX40 Creator","Socket / CPUsTRX4","Form FactorATX","256","8","ColorBlack / Silver","623.72","ASRock TRX40 Creator         (1)","https://es.pcpartpicker.com/product/TL7p99/asrock-trx40-creator-atx-strx4-motherboard-trx40-creator","(1 Rating, 5.0 Average)"
"1672961308-50","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/1e22475485a934cfb22377bb47cfee65.256p.jpg","ASRock X299 WSI/IPMI","Socket / CPULGA2066","Form FactorMini ITX","64","4","ColorBlack / Silver","623.09","ASRock X299 WSI/IPMI         (0)","https://es.pcpartpicker.com/product/7bF48d/asrock-x299-wsiipmi-mini-itx-lga2066-motherboard-x299-wsiipmi","null"
"1672961311-51","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/f1f3e8915b51712fbf04073c3ee4f581.256p.jpg","MSI MEG Z490 GODLIKE","Socket / CPULGA1200","Form FactorEATX","128","4","ColorBlack / Silver","622.80","MSI MEG Z490 GODLIKE         (2)","https://es.pcpartpicker.com/product/BLK2FT/msi-meg-z490-godlike-eatx-lga1200-motherboard-meg-z490-godlike","(2 Ratings, 4.5 Average)"
"1672961313-52","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/acb1b91409be46f038c9eedd7ed2e497.256p.jpg","Asus ROG CROSSHAIR X670E GENE","Socket / CPUAM5","Form FactorMicro ATX","64","2","ColorBlack / Silver","611.07","Asus ROG CROSSHAIR X670E GENE         (0)","https://es.pcpartpicker.com/product/Wjwypg/asus-rog-crosshair-x670e-gene-micro-atx-am5-motherboard-rog-crosshair-x670e-gene","null"
"1672961315-53","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/5bc96193a9aa7440282d9cb9e275d482.256p.jpg","Asus ProArt Z690-CREATOR WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Copper","609.17","Asus ProArt Z690-CREATOR WIFI         (0)","https://es.pcpartpicker.com/product/tPYmP6/asus-proart-z690-creator-wifi-atx-lga1700-motherboard-proart-z690-creator-wifi","null"
"1672961317-54","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/8de906f8a1dd1b6c62164099f0fa2007.256p.jpg","ASRock C246 WS","Socket / CPULGA1151","Form FactorATX","64","4","ColorGreen / Blue","604.99","ASRock C246 WS         (0)","https://es.pcpartpicker.com/product/qRJmP6/asrock-c246-ws-atx-lga1151-motherboard-c246-ws","null"
"1672961320-55","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/574d3700f198139cb7039f77517c7deb.256p.jpg","Asus ROG Strix X570-F Gaming","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack","600.50","Asus ROG Strix X570-F Gaming         (14)","https://es.pcpartpicker.com/product/cqsnTW/asus-rog-strix-x570-f-gaming-atx-am4-motherboard-rog-strix-x570-f-gaming","(14 Ratings, 4.6 Average)"
"1672961322-56","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/1a155076718d51342d45b49f293ee0db.256p.jpg","Asus ROG MAXIMUS Z690 HERO","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","593.95","Asus ROG MAXIMUS Z690 HERO         (2)","https://es.pcpartpicker.com/product/ChBG3C/asus-rog-maximus-z690-hero-atx-lga1700-motherboard-rog-maximus-z690-hero","(2 Ratings, 5.0 Average)"
"1672961324-57","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=7","//cdna.pcpartpicker.com/static/forever/images/product/b563a3e75d0604956621ad22f540eea7.256p.jpg","Asus ROG STRIX Z790-I GAMING WIFI","Socket / CPULGA1700","Form FactorMini ITX","64","2","ColorBlack","589.35","Asus ROG STRIX Z790-I GAMING WIFI         (1)","https://es.pcpartpicker.com/product/gPjBD3/asus-rog-strix-z790-i-gaming-wifi-mini-itx-lga1700-motherboard-rog-strix-z790-i-gaming-wifi","(1 Rating, 4.0 Average)"
