web-scraper-order,web-scraper-start-url,img-src,name,speed,modules,price/GB,color,First Word Latency,CAS latency,price,link,link-href,rating
"1672964233-1201","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://images-na.ssl-images-amazon.com/images/I/41%2B2%2B5suuAL.jpg","Crucial CT4K32G4LFQ4213 128 GB","SpeedDDR4-2133","Modules4 x 32GB","Price / GB","ColorBlack / Green","First Word Latency14.065 ns","CAS Latency15","null","Crucial CT4K32G4LFQ4213 128 GB         (0)","https://es.pcpartpicker.com/product/xzKhP6/crucial-memory-ct4k32g4lfq4213","null"
"1672964235-1202","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/af731c03b328ecb97a7a2b1ce6b7d493.256p.jpg","Crucial CT16G4DFD832A 16 GB","SpeedDDR4-3200","Modules1 x 16GB","Price / GB","ColorGreen / Black","First Word Latency13.75 ns","CAS Latency22","null","Crucial CT16G4DFD832A 16 GB         (0)","https://es.pcpartpicker.com/product/BD66Mp/crucial-16-gb-1-x-16-gb-ddr4-3200-memory-ct16g4dfd832a","null"
"1672964237-1203","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/4cfa024bd7a1139c40785a2ce59cb4b4.256p.jpg","TEAMGROUP Elite 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency13.75 ns","CAS Latency22","null","TEAMGROUP Elite 32 GB         (1)","https://es.pcpartpicker.com/product/wnbCmG/team-elite-32-gb-2-x-16-gb-ddr4-3200-cl22-memory-ted432g3200c22dc01","(1 Rating, 5.0 Average)"
"1672964239-1204","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/78180d9227fed723642bea4d936e33ac.256p.jpg","ADATA XPG SPECTRIX D41 16 GB","SpeedDDR4-3000","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency10.667 ns","CAS Latency16","null","ADATA XPG SPECTRIX D41 16 GB         (9)","https://es.pcpartpicker.com/product/krPKHx/adata-xpg-spectrix-d41-16gb-2-x-8gb-ddr4-3000-memory-ax4u300038g16-dt41","(9 Ratings, 4.3 Average)"
"1672964242-1205","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/c61d03fc228fefd6c496ff2b76eaf0c1.256p.jpg","Mushkin Redline Lumina 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency7.778 ns","CAS Latency14","null","Mushkin Redline Lumina 16 GB         (0)","https://es.pcpartpicker.com/product/cXD7YJ/mushkin-redline-lumina-16-gb-2-x-8-gb-ddr4-3600-cl14-memory-mla4c360ekkt8gx2","null"
"1672964244-1206","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/bd1c95d7f8eab185747c3248c520d608.256p.jpg","Silicon Power XPOWER Turbine 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorBlue","First Word Latency10 ns","CAS Latency16","null","Silicon Power XPOWER Turbine 32 GB         (0)","https://es.pcpartpicker.com/product/2LMTwP/silicon-power-xpower-turbine-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-sp032gxlzu320fda","null"
"1672964246-1207","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/355982eabc8cc1a72b7ff1a224eed629.256p.jpg","OLOy WarHawk RGB 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorBlack / White","First Word Latency10 ns","CAS Latency18","null","OLOy WarHawk RGB 16 GB         (10)","https://es.pcpartpicker.com/product/qQzFf7/oloy-warhawk-rgb-16-gb-2-x-8-gb-ddr4-3600-memory-md4u083618beda","(10 Ratings, 4.7 Average)"
"1672964249-1208","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/6816dee50e0e0ee49dc61870ffbdb79b.256p.jpg","Kingston HyperX Fury 16 GB","SpeedDDR4-2666","Modules1 x 16GB","Price / GB","ColorBlack","First Word Latency12.003 ns","CAS Latency16","null","Kingston HyperX Fury 16 GB         (2)","https://es.pcpartpicker.com/product/3Pwkcf/kingston-hyperx-fury-16-gb-1-x-16-gb-ddr4-2666-cl16-memory-hx426c16fb316","(2 Ratings, 4.5 Average)"
"1672964251-1209","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/7698f2d9a01576c4fadc9e76feae642c.256p.jpg","Crucial Ballistix RGB 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorWhite","First Word Latency8.889 ns","CAS Latency16","null","Crucial Ballistix RGB 16 GB         (18)","https://es.pcpartpicker.com/product/WPvqqs/crucial-ballistix-rgb-16-gb-2-x-8-gb-ddr4-3600-memory-bl2k8g36c16u4wl","(18 Ratings, 4.8 Average)"
"1672964253-1210","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/41uKZrwnFjL.jpg","OLOy Blade RGB 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency10 ns","CAS Latency16","null","OLOy Blade RGB 16 GB         (0)","https://es.pcpartpicker.com/product/js8bt6/oloy-blade-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-md4u0832162brkde","null"
"1672964256-1211","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/8ca8bf9040a74f567b633b5b538d641c.256p.jpg","Crucial Ballistix Sport LT 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorSilver / Black","First Word Latency10 ns","CAS Latency16","null","Crucial Ballistix Sport LT 16 GB         (22)","https://es.pcpartpicker.com/product/gLGxFT/crucial-ballistix-sport-lt-16-gb-2-x-8-gb-ddr4-3200-memory-bls2k8g4d32aesbk","(22 Ratings, 4.9 Average)"
"1672964258-1212","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/316bGofzF+S.jpg","Patriot Viper Elite II 16 GB","SpeedDDR4-2666","Modules1 x 16GB","Price / GB","ColorRed / Black","First Word Latency12.003 ns","CAS Latency16","null","Patriot Viper Elite II 16 GB         (0)","https://es.pcpartpicker.com/product/gH3gXL/patriot-viper-elite-ii-16-gb-1-x-16-gb-ddr4-2666-cl16-memory-pve2416g266c6","null"
"1672964261-1213","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/e7e5bfd5a94513a55151d1454e97bc55.256p.jpg","TEAMGROUP T-Force Xtreem ARGB 64 GB","SpeedDDR4-3600","Modules2 x 32GB","Price / GB","ColorWhite","First Word Latency10 ns","CAS Latency18","null","TEAMGROUP T-Force Xtreem ARGB 64 GB         (1)","https://es.pcpartpicker.com/product/FZJgXL/team-t-force-xtreem-argb-64-gb-2-x-32-gb-ddr4-3600-cl18-memory-tf13d464g3600hc18jdc01","(1 Rating, 5.0 Average)"
"1672964263-1214","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/545fc8b357b4593bd1a69853b4663407.256p.jpg","G.Skill Ripjaws V 32 GB","SpeedDDR4-3200","Modules4 x 8GB","Price / GB","ColorRed","First Word Latency10 ns","CAS Latency16","null","G.Skill Ripjaws V 32 GB         (1)","https://es.pcpartpicker.com/product/GcTrxr/gskill-memory-f43200c16q32gvrb","(1 Rating, 4.0 Average)"
"1672964265-1215","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/49a63258a951b69681c19882cd051718.256p.jpg","G.Skill Trident Z 32 GB","SpeedDDR5-6000","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency12 ns","CAS Latency36","null","G.Skill Trident Z 32 GB         (0)","https://es.pcpartpicker.com/product/gfXJ7P/gskill-trident-z-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16ga2-tz5k","null"
"1672964267-1216","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/82182136c557a8b9975e956b58a558fa.256p.jpg","Patriot Viper Black 32 GB","SpeedDDR5-6000","Modules2 x 16GB","Price / GB","ColorBlack / White","First Word Latency12 ns","CAS Latency36","null","Patriot Viper Black 32 GB         (0)","https://es.pcpartpicker.com/product/8fWzK8/patriot-viper-black-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-pvv532g600c36k","null"
"1672964270-1217","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/144d7a9578a5d60ffc3e91de70de59ce.256p.jpg","Kingston HyperX Fury 16 GB","SpeedDDR4-2400","Modules2 x 8GB","Price / GB","ColorBlack / White","First Word Latency12.5 ns","CAS Latency15","null","Kingston HyperX Fury 16 GB         (11)","https://es.pcpartpicker.com/product/nq38TW/kingston-memory-hx424c15fbk216","(11 Ratings, 4.7 Average)"
"1672964272-1218","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/5b045906f183e964bb7eea6ed5995507.256p.jpg","TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorBlack / Gold","First Word Latency10 ns","CAS Latency16","null","TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 16 GB         (0)","https://es.pcpartpicker.com/product/6TKKHx/teamgroup-t-force-delta-tuf-gaming-alliance-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf9d416g3200hc16fdc01","null"
"1672964274-1219","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/cb16dd755c1945f035b8ff6240505e67.256p.jpg","G.Skill Trident Z Royal 256 GB","SpeedDDR4-3600","Modules8 x 32GB","Price / GB","ColorGold","First Word Latency10 ns","CAS Latency18","null","G.Skill Trident Z Royal 256 GB         (0)","https://es.pcpartpicker.com/product/WwpmP6/gskill-trident-z-royal-256-gb-8-x-32-gb-ddr4-3600-memory-f4-3600c18q2-256gtrg","null"
"1672964277-1220","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/8eedac9c8ab3d21bf894287c26ccfc94.256p.jpg","Corsair Vengeance LPX 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorRed","First Word Latency10 ns","CAS Latency16","null","Corsair Vengeance LPX 16 GB         (0)","https://es.pcpartpicker.com/product/yhQcCJ/corsair-vengeance-lpx-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-cmk16gx4m2e3200c16r","null"
"1672964279-1221","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/2bd51ac22f62f50071472086b46ea6f6.256p.jpg","G.Skill Trident Z RGB 256 GB","SpeedDDR4-3600","Modules8 x 32GB","Price / GB","Color","First Word Latency8.889 ns","CAS Latency16","null","G.Skill Trident Z RGB 256 GB         (0)","https://es.pcpartpicker.com/product/mMzhP6/gskill-trident-z-rgb-256-gb-8-x-32-gb-ddr4-3600-cl16-memory-f4-3600c16q2-256gtzr","null"
"1672964281-1222","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/41afzJoMjFL.jpg","Silicon Power XPOWER Zenith RGB Gaming 32 GB","SpeedDDR4-3600","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency10 ns","CAS Latency18","null","Silicon Power XPOWER Zenith RGB Gaming 32 GB         (0)","https://es.pcpartpicker.com/product/pXKKHx/silicon-power-xpower-zenith-rgb-gaming-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-sp032gxlzu360bdd","null"
"1672964283-1223","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://images-na.ssl-images-amazon.com/images/I/41z3E2A6LOL.jpg","Kingston ValueRAM 4 GB","SpeedDDR2-800","Modules2 x 2GB","Price / GB","ColorGreen","First Word Latency15 ns","CAS Latency6","null","Kingston ValueRAM 4 GB         (2)","https://es.pcpartpicker.com/product/G3DwrH/kingston-memory-kvr800d2n6k24g","(2 Ratings, 5.0 Average)"
"1672964286-1224","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/b2d107d629e656f9f435ce9bd604f7e0.256p.jpg","Corsair Vengeance RGB 32 GB","SpeedDDR5-6400","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency11.875 ns","CAS Latency38","null","Corsair Vengeance RGB 32 GB         (0)","https://es.pcpartpicker.com/product/H6wypg/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cmh32gx5m2x6400c38","null"
"1672964288-1225","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","/static/forever/img/no-image.png","SK Hynix HMA81GU6MFR8N-UH 8 GB","SpeedDDR4-2400","Modules1 x 8GB","Price / GB","ColorGreen / Black","First Word Latency14.167 ns","CAS Latency17","null","SK Hynix HMA81GU6MFR8N-UH 8 GB         (1)","https://es.pcpartpicker.com/product/VRPKHx/sk-hynix-8-gb-1-x-8-gb-ddr4-2400-memory-hma81gu6mfr8n-uh","(1 Rating, 5.0 Average)"
"1672964290-1226","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/429d6dde015122acd1fc53ffb268419c.256p.jpg","Patriot Signature Line 16 GB","SpeedDDR5-5600","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency14.286 ns","CAS Latency40","null","Patriot Signature Line 16 GB         (0)","https://es.pcpartpicker.com/product/TjkWGX/patriot-signature-line-16-gb-2-x-8-gb-ddr5-5600-cl40-memory-psd516g560c40kx","null"
"1672964293-1227","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/298bba4af4eec80cb8d5b5b9a0bff9d3.256p.jpg","ADATA XPG SPECTRIX D50 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorWhite","First Word Latency10 ns","CAS Latency16","null","ADATA XPG SPECTRIX D50 32 GB         (0)","https://es.pcpartpicker.com/product/KHC48d/adata-xpg-spectrix-d50-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-ax4u320016g16a-dw50","null"
"1672964295-1228","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/05e40075d9b41b09ced5414e703cf952.256p.jpg","TEAMGROUP Elite 16 GB","SpeedDDR4-2666","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency14.254 ns","CAS Latency19","null","TEAMGROUP Elite 16 GB         (0)","https://es.pcpartpicker.com/product/Rk8bt6/teamgroup-elite-16-gb-2-x-8-gb-ddr4-2666-cl19-memory-ted416g2666c19dc01","null"
"1672964297-1229","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/cfb3f2908ff7e3436dfd9c962a08a68f.256p.jpg","G.Skill Trident Z 32 GB","SpeedDDR5-6000","Modules2 x 16GB","Price / GB","ColorWhite / Black","First Word Latency13.333 ns","CAS Latency40","null","G.Skill Trident Z 32 GB         (0)","https://es.pcpartpicker.com/product/vGpzK8/gskill-trident-z-32-gb-2-x-16-gb-ddr5-6000-cl40-memory-f5-6000u4040e16ga2-tz5s","null"
"1672964300-1230","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/518QF7N9JRL.jpg","Kingston Kingston Fury Red 16GB (2x8GB) DDR4 PC4-21300C16 2666MHz Dual Channel Kit (HX426C16FR2K2/16) 16 GB","SpeedDDR4-2666","Modules2 x 8GB","Price / GB","ColorRed","First Word Latency12.003 ns","CAS Latency16","null","Kingston Kingston Fury Red 16GB (2x8GB) DDR4 PC4-21300C16 2666MHz Dual Channel Kit (HX426C16FR2K2/16) 16 GB         (4)","https://es.pcpartpicker.com/product/j8QG3C/kingston-hyperx-fury-16gb-2-x-8gb-ddr4-2666-memory-hx426c16fr2k216","(4 Ratings, 4.5 Average)"
"1672964302-1231","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/51rypl+NdmL.jpg","Patriot Viper Steel 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorGray / Black","First Word Latency7.778 ns","CAS Latency14","null","Patriot Viper Steel 16 GB         (0)","https://es.pcpartpicker.com/product/HF6p99/patriot-viper-steel-16-gb-2-x-8-gb-ddr4-3600-cl14-memory-pvs416g360c4k","null"
"1672964304-1232","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/4006eff86a0df7cca9e6ee1018321621.256p.jpg","Silicon Power XPOWER Turbine RGB 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorSilver / Black","First Word Latency10 ns","CAS Latency16","null","Silicon Power XPOWER Turbine RGB 32 GB         (3)","https://es.pcpartpicker.com/product/GdNv6h/silicon-power-xpower-turbine-rgb-32-gb-2-x-16-gb-ddr4-3200-memory-sp032gxlzu320bdb","(3 Ratings, 4.7 Average)"
"1672964307-1233","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/89a8560bd9f5040499a179638ceb33dd.256p.jpg","G.Skill Ripjaws S5 64 GB","SpeedDDR5-5600","Modules2 x 32GB","Price / GB","ColorWhite","First Word Latency10 ns","CAS Latency28","null","G.Skill Ripjaws S5 64 GB         (0)","https://es.pcpartpicker.com/product/gFD7YJ/gskill-ripjaws-s5-64-gb-2-x-32-gb-ddr5-5600-cl28-memory-f5-5600j2834f32gx2-rs5w","null"
"1672964309-1234","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/31DsgQtVvrS.jpg","OLOy Blade RGB 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorWhite","First Word Latency10 ns","CAS Latency16","null","OLOy Blade RGB 16 GB         (1)","https://es.pcpartpicker.com/product/zGjBD3/oloy-blade-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-md4u0832162brwde","(1 Rating, 4.0 Average)"
"1672964311-1235","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/3aacbcdb791f9f0b813143d0ea8e4cf4.256p.jpg","Corsair Vengeance 32 GB","SpeedDDR5-5600","Modules1 x 32GB","Price / GB","ColorBlack / Gray","First Word Latency14.286 ns","CAS Latency40","null","Corsair Vengeance 32 GB         (0)","https://es.pcpartpicker.com/product/pLzhP6/corsair-vengeance-32-gb-1-x-32-gb-ddr5-5600-cl40-memory-cmk32gx5m1b5600c40","null"
"1672964313-1236","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/17a1d429c294351b08e6ed4552db1f15.256p.jpg","G.Skill Trident Z5 RGB 32 GB","SpeedDDR5-5600","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency10 ns","CAS Latency28","null","G.Skill Trident Z5 RGB 32 GB         (0)","https://es.pcpartpicker.com/product/BMt9TW/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-5600-cl28-memory-f5-5600j2834f16gx2-tz5rk","null"
"1672964316-1237","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/cc5fd9e250d96e8e1230c8e061c60af4.256p.jpg","Crucial Ballistix 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency8.889 ns","CAS Latency16","null","Crucial Ballistix 16 GB         (35)","https://es.pcpartpicker.com/product/4JBhP6/crucial-ballistix-rgb-16-gb-2-x-8-gb-ddr4-3600-memory-bl2k8g36c16u4bl","(35 Ratings, 4.6 Average)"
"1672964318-1238","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/41jXaR025gL.jpg","Kingston HX426C13PBK4/32 32 GB","SpeedDDR4-2666","Modules4 x 8GB","Price / GB","ColorBlack","First Word Latency9.752 ns","CAS Latency13","null","Kingston HX426C13PBK4/32 32 GB         (0)","https://es.pcpartpicker.com/product/qNNypg/kingston-memory-hx426c13pbk432","null"
"1672964320-1239","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/41ReWl2Ln6L.jpg","G.Skill Trident Z5 RGB 32 GB","SpeedDDR5-6000","Modules2 x 16GB","Price / GB","ColorWhite / Black","First Word Latency12 ns","CAS Latency36","null","G.Skill Trident Z5 RGB 32 GB         (0)","https://es.pcpartpicker.com/product/gZbTwP/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16ga2-tz5rs","null"
"1672964322-1240","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/51aP1Vt5T7L.jpg","Corsair Dominator Platinum 16 GB","SpeedDDR3-1600","Modules2 x 8GB","Price / GB","ColorBlack / Silver","First Word Latency11.25 ns","CAS Latency9","null","Corsair Dominator Platinum 16 GB         (17)","https://es.pcpartpicker.com/product/mQkD4D/corsair-memory-cmd16gx3m2a1600c9","(17 Ratings, 4.9 Average)"
"1672964325-1241","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/a3a07a02c1a4415327f77188ecdc1fd8.256p.jpg","Kingston HyperX Fury 16 GB","SpeedDDR3-1600","Modules2 x 8GB","Price / GB","ColorBlue / Silver","First Word Latency12.5 ns","CAS Latency10","null","Kingston HyperX Fury 16 GB         (6)","https://es.pcpartpicker.com/product/t4R48d/kingston-memory-hx316c10fk216","(6 Ratings, 4.8 Average)"
"1672964327-1242","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/889a3bf0e44f7669e7491cd488a2946e.256p.jpg","GeIL Orion RGB AMD Edition 32 GB","SpeedDDR4-3200","Modules2 x 16GB","Price / GB","ColorGray","First Word Latency10 ns","CAS Latency16","null","GeIL Orion RGB AMD Edition 32 GB         (0)","https://es.pcpartpicker.com/product/kGkWGX/geil-orion-rgb-amd-edition-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-gaosg432gb3200c16bdc","null"
"1672964329-1243","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/889a3bf0e44f7669e7491cd488a2946e.256p.jpg","GeIL Orion RGB AMD Edition 32 GB","SpeedDDR4-3600","Modules2 x 16GB","Price / GB","ColorGray","First Word Latency10 ns","CAS Latency18","null","GeIL Orion RGB AMD Edition 32 GB         (0)","https://es.pcpartpicker.com/product/64WzK8/geil-orion-rgb-amd-edition-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-gaosg432gb3600c18bdc","null"
"1672964332-1244","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/e0da688a111680a5e6f4952fa9fb3608.256p.jpg","Kingston KSM29RD4/64HAR 64 GB","SpeedDDR4-2933","Modules1 x 64GB","Price / GB","Color","First Word Latency14.32 ns","CAS Latency21","null","Kingston KSM29RD4/64HAR 64 GB         (0)","https://es.pcpartpicker.com/product/7jzFf7/kingston-64-gb-1-x-64-gb-registered-ddr4-2933-cl21-memory-ksm29rd464har","null"
"1672964334-1245","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/c242f1fa9979a24196b8bd732b1bb443.256p.jpg","Klevv BOLT X 16 GB","SpeedDDR4-3600","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency10 ns","CAS Latency18","null","Klevv BOLT X 16 GB         (1)","https://es.pcpartpicker.com/product/QGbTwP/klevv-bolt-x-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-kd48gu880-36a180u","(1 Rating, 5.0 Average)"
"1672964336-1246","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/ae076b653790230e95e014df9aadbdff.256p.jpg","OLOy MD4U083016BGDA 16 GB","SpeedDDR4-3000","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency10.667 ns","CAS Latency16","null","OLOy MD4U083016BGDA 16 GB         (14)","https://es.pcpartpicker.com/product/smGnTW/oloy-16-gb-2-x-8-gb-ddr4-3000-cl16-memory-md4u083016bgda","(14 Ratings, 4.6 Average)"
"1672964339-1247","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/e67996ac91882f9b74bead4e71043939.256p.jpg","Kingston HyperX Fury 16 GB","SpeedDDR4-2133","Modules2 x 8GB","Price / GB","ColorBlack / White","First Word Latency13.127 ns","CAS Latency14","null","Kingston HyperX Fury 16 GB         (66)","https://es.pcpartpicker.com/product/xhM323/kingston-memory-hx421c14fbk216","(66 Ratings, 4.8 Average)"
"1672964341-1248","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/b42753ec81501dc12ceed871cdd5fc42.256p.jpg","G.Skill Trident Z5 64 GB","SpeedDDR5-6000","Modules2 x 32GB","Price / GB","ColorBlack","First Word Latency10.667 ns","CAS Latency32","null","G.Skill Trident Z5 64 GB         (0)","https://es.pcpartpicker.com/product/TR7G3C/gskill-trident-z5-64-gb-2-x-32-gb-ddr5-6000-cl32-memory-f5-6000j3238g32gx2-tz5k","null"
"1672964343-1249","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","//cdna.pcpartpicker.com/static/forever/images/product/e2cd04cbb166a54879b2a0bce9efc475.256p.jpg","Corsair Dominator Platinum RGB 32 GB","SpeedDDR5-6400","Modules2 x 16GB","Price / GB","ColorBlack","First Word Latency11.875 ns","CAS Latency38","null","Corsair Dominator Platinum RGB 32 GB         (0)","https://es.pcpartpicker.com/product/hbZ9TW/corsair-dominator-platinum-rgb-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cmt32gx5m2x6400c38","null"
"1672964346-1250","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/4191R5DI+TL.jpg","Patriot Signature Line 16 GB","SpeedDDR5-4800","Modules2 x 8GB","Price / GB","ColorBlack","First Word Latency16.667 ns","CAS Latency40","null","Patriot Signature Line 16 GB         (0)","https://es.pcpartpicker.com/product/FLKKHx/patriot-signature-line-16-gb-2-x-8-gb-ddr5-4800-cl40-memory-psd516g4800k","null"
"1672964348-1251","https://es.pcpartpicker.com/products/memory/#sort=-price&page=26","https://m.media-amazon.com/images/I/51l7WkQiv2L.jpg","ADATA XPG Z1 16 GB","SpeedDDR4-3200","Modules2 x 8GB","Price / GB","ColorRed","First Word Latency10 ns","CAS Latency16","null","ADATA XPG Z1 16 GB         (0)","https://es.pcpartpicker.com/product/qhfnTW/adata-xpg-z1-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-ax4u320038g16a-dsz1","null"
