web-scraper-order,web-scraper-start-url,img-src,name,speed,modules,price/GB,color,First Word Latency,CAS latency,price,link,link-href,rating
"1672969737-3523","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/41ca13c2a2e49c046fd0c474b6ec937b.256p.jpg","Corsair Vengeance LPX 128 GB","SpeedDDR4-2666","Modules4 x 32GB","Price / GB€3.015","ColorBlack / Yellow","First Word Latency12.003 ns","CAS Latency16","385.90","Corsair Vengeance LPX 128 GB         (0)","https://es.pcpartpicker.com/product/J3CFf7/corsair-vengeance-lpx-128-gb-4-x-32-gb-ddr4-2666-memory-cmk128gx4m4a2666c16","null"
"1672969739-3524","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/dea26bfdf9e119c126e29a3756ec5cc8.256p.jpg","Corsair Vengeance RGB 32 GB","SpeedDDR5-7200","Modules2 x 16GB","Price / GB€12.059","ColorBlack","First Word Latency9.444 ns","CAS Latency34","385.90","Corsair Vengeance RGB 32 GB         (0)","https://es.pcpartpicker.com/product/fKytt6/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-cmh32gx5m2x7200c34","null"
"1672969741-3525","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/fdda786fc29f796d199292c77ef688ef.256p.jpg","G.Skill Trident Z RGB 32 GB","SpeedDDR4-3866","Modules2 x 16GB","Price / GB€12.062","ColorBlack","First Word Latency9.312 ns","CAS Latency18","386.00","G.Skill Trident Z RGB 32 GB         (0)","https://es.pcpartpicker.com/product/GnPzK8/gskill-trident-z-rgb-32gb-2-x-16gb-ddr4-3866-memory-f4-3866c18d-32gtzr","null"
"1672969744-3526","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","https://m.media-amazon.com/images/I/414aup2y4cL.jpg","Corsair Vengeance RGB 16 GB","SpeedDDR4-4000","Modules2 x 8GB","Price / GB€24.138","Color","First Word Latency9.5 ns","CAS Latency19","386.21","Corsair Vengeance RGB 16 GB         (0)","https://es.pcpartpicker.com/product/swrmP6/corsair-vengeance-rgb-16gb-2-x-8gb-ddr4-4000-memory-cmr16gx4m2f4000c19","null"
"1672969746-3527","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/8e9ed20740ae3db5a355c89ac8c50086.256p.jpg","G.Skill Flare X 64 GB","SpeedDDR4-3200","Modules4 x 16GB","Price / GB€6.045","ColorBlack","First Word Latency8.75 ns","CAS Latency14","386.90","G.Skill Flare X 64 GB         (0)","https://es.pcpartpicker.com/product/Vz6qqs/gskill-flare-x-64-gb-4-x-16-gb-ddr4-3200-memory-f4-3200c14q-64gfx","null"
"1672969748-3528","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","https://images-na.ssl-images-amazon.com/images/I/21ftsomYU8L.jpg","G.Skill Ripjaws 16 GB","SpeedDDR3-1600","Modules4 x 4GB","Price / GB€24.185","ColorBlack / Red","First Word Latency11.25 ns","CAS Latency9","386.96","G.Skill Ripjaws 16 GB         (10)","https://es.pcpartpicker.com/product/yK9KHx/gskill-memory-f312800cl9q16gbrl","(10 Ratings, 4.8 Average)"
"1672969751-3529","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/a8ee4e88d64531f87c8b900443c175f7.256p.jpg","G.Skill Trident Z Royal 16 GB","SpeedDDR4-4600","Modules2 x 8GB","Price / GB€24.316","ColorSilver","First Word Latency7.826 ns","CAS Latency18","389.06","G.Skill Trident Z Royal 16 GB         (0)","https://es.pcpartpicker.com/product/4jVD4D/gskill-trident-z-royal-16-gb-2-x-8-gb-ddr4-4600-memory-f4-4600c18d-16gtrs","null"
"1672969753-3530","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/b9f7fa9f09edc76929746d99f288dc67.256p.jpg","G.Skill Trident Z RGB 32 GB","SpeedDDR4-3600","Modules4 x 8GB","Price / GB€12.266","ColorBlack","First Word Latency8.889 ns","CAS Latency16","392.52","G.Skill Trident Z RGB 32 GB         (3)","https://es.pcpartpicker.com/product/V398TW/gskill-tridentz-rgb-32gb-4-x-8gb-ddr4-3600-memory-f4-3600c16q-32gtzr","(3 Ratings, 5.0 Average)"
"1672969755-3531","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/930688a4238d1e9f2ae5290e6104bff3.256p.jpg","G.Skill Trident Z 32 GB","SpeedDDR4-3200","Modules4 x 8GB","Price / GB€12.271","ColorRed / Silver","First Word Latency8.75 ns","CAS Latency14","392.67","G.Skill Trident Z 32 GB         (0)","https://es.pcpartpicker.com/product/ZfvZxr/gskill-memory-f43200c14q32gtz","null"
"1672969757-3532","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/fa3ff94ece513637a63749133bd8b188.256p.jpg","Thermaltake TOUGHRAM RGB 64 GB","SpeedDDR4-3600","Modules2 x 32GB","Price / GB€6.139","ColorBlack","First Word Latency10 ns","CAS Latency18","392.90","Thermaltake TOUGHRAM RGB 64 GB         (0)","https://es.pcpartpicker.com/product/rLGnTW/thermaltake-toughram-rgb-64-gb-2-x-32-gb-ddr4-3600-cl18-memory-r009r432gx2-3600c18a","null"
"1672969763-3533","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/ebfe3f6b7e4a9340144dc68219a2784d.256p.jpg","G.Skill Trident Z 32 GB","SpeedDDR4-4000","Modules2 x 16GB","Price / GB€12.311","ColorBlack / Silver","First Word Latency9.5 ns","CAS Latency19","393.95","G.Skill Trident Z 32 GB         (1)","https://es.pcpartpicker.com/product/rkyV3C/gskill-trident-z-32gb-2-x-16gb-ddr4-4000-memory-f4-4000c19d-32gtzkk","(1 Rating, 4.0 Average)"
"1672969765-3534","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/e600bada135d405bc5310646397be33b.256p.jpg","Kingston FURY Beast 128 GB","SpeedDDR4-3600","Modules4 x 32GB","Price / GB€3.085","ColorBlack","First Word Latency10 ns","CAS Latency18","394.90","Kingston FURY Beast 128 GB         (0)","https://es.pcpartpicker.com/product/6VvdnQ/kingston-fury-beast-128-gb-4-x-32-gb-ddr4-3600-cl18-memory-kf436c18bbk4128","null"
