web-scraper-order,web-scraper-start-url,img-src,name,capacity,price/GB,type,cache,form factor,interface,price,link,link-href,rating
"1673018201-1352","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/5568f9eef66c2d1b42ed41a1dc8ad452.256p.jpg","Seagate BarraCuda","Capacity2 TB","Price / GB€0.035","Type5400 RPM","Cache128 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","70.80","Seagate BarraCuda         (17)","https://es.pcpartpicker.com/product/2fGj4D/seagate-barracuda-2tb-25-5400rpm-internal-hard-drive-st2000lm015","(17 Ratings, 4.5 Average)"
"1673018204-1353","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://m.media-amazon.com/images/I/51leljrJgdL.jpg","Western Digital AV-GP","Capacity2 TB","Price / GB€0.035","Type5400 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","70.47","Western Digital AV-GP         (3)","https://es.pcpartpicker.com/product/fZ6BD3/western-digital-internal-hard-drive-wd20eurx","(3 Ratings, 4.3 Average)"
"1673018206-1354","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/07e2485d72c691d475dc6906f34ad1e0.256p.jpg","ADATA Ultimate SU750","Capacity512 GB","Price / GB€0.137","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","70.20","ADATA Ultimate SU750         (0)","https://es.pcpartpicker.com/product/9KZzK8/adata-ultimate-su750-512-gb-25-solid-state-drive-asu750ss-512gt-c","null"
"1673018208-1355","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/04db97e2c137d1955d1f4d3d6a0427ec.256p.jpg","PNY CS900","Capacity500 GB","Price / GB€0.140","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","70.00","PNY CS900         (8)","https://es.pcpartpicker.com/product/XshmP6/pny-cs900-500-gb-25-solid-state-drive-ssd7cs900-500-rb","(8 Ratings, 4.8 Average)"
"1673018210-1356","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/f2b81ef4f53b4566edfd5a5c7c60977d.256p.jpg","Seagate BarraCuda","Capacity4 TB","Price / GB€0.017","Type5400 RPM","Cache256 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","69.98","Seagate BarraCuda         (63)","https://es.pcpartpicker.com/product/jD3H99/seagate-barracuda-4tb-35-5400rpm-internal-hard-drive-st4000dm004","(63 Ratings, 4.6 Average)"
"1673018213-1357","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/31f80e061466fc1877adcf162b5ddf98.256p.jpg","Western Digital Red","Capacity500 GB","Price / GB€0.140","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","69.80","Western Digital Red         (0)","https://es.pcpartpicker.com/product/xhYmP6/western-digital-wd-red-sn700-500-gb-m2-2280-nvme-solid-state-drive-wds500g1r0c","null"
"1673018215-1358","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/f92ba1921e2df05e51d4756eb86ada07.256p.jpg","Lexar NS100","Capacity1 TB","Price / GB€0.069","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","69.48","Lexar NS100         (0)","https://es.pcpartpicker.com/product/pnxRsY/lexar-ns100-1-tb-25-solid-state-drive-lns100-1trb","null"
"1673018217-1359","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/d2597c6af85efa2da718727f545317eb.256p.jpg","Kingston A2000","Capacity500 GB","Price / GB€0.139","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","69.40","Kingston A2000         (42)","https://es.pcpartpicker.com/product/RykgXL/kingston-a2000-500-gb-m2-2280-nvme-solid-state-drive-sa2000m8500g","(42 Ratings, 4.8 Average)"
"1673018220-1360","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/29dcf33e90688c4ccac590096b12cdf1.256p.jpg","SanDisk Ultra 3D","Capacity500 GB","Price / GB€0.138","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","68.99","SanDisk Ultra 3D         (16)","https://es.pcpartpicker.com/product/RxYLrH/sandisk-ultra-3d-500gb-25-solid-state-drive-sdssdh3-500g-g25","(16 Ratings, 4.9 Average)"
"1673018222-1361","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://m.media-amazon.com/images/I/51CFArlGE1L.jpg","Western Digital AV-GP","Capacity500 GB","Price / GB€0.138","Type5400 RPM","Cache32 MB","Form Factor3.5""","InterfaceSATA 3.0 Gb/s","68.94","Western Digital AV-GP         (1)","https://es.pcpartpicker.com/product/Bwbp99/western-digital-internal-hard-drive-wd5000avds","(1 Rating, 4.0 Average)"
