web-scraper-order,web-scraper-start-url,img-src,name,capacity,price/GB,type,cache,form factor,interface,price,link,link-href,rating
"1673015047-1","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31KeULdwSLL.jpg","Mushkin Source HC","Capacity16 TB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Mushkin Source HC         (0)","https://es.pcpartpicker.com/product/zxVmP6/mushkin-source-hc-16-tb-25-solid-state-drive-mknssdhc16tb","null"
"1673015049-2","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/05c84a7f2b020b4efe1b7b736b9eefd0.256p.jpg","Samsung 960 Evo","Capacity250 GB","Price / GB","TypeSSD","Cache512 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Samsung 960 Evo         (187)","https://es.pcpartpicker.com/product/ZNBrxr/samsung-960-evo-250gb-m2-2280-solid-state-drive-mz-v6e250","(187 Ratings, 4.9 Average)"
"1673015052-3","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41JzcZEvqvL.jpg","Seagate FireCuda","Capacity2 TB","Price / GB","TypeHybrid","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Seagate FireCuda         (48)","https://es.pcpartpicker.com/product/zk7CmG/seagate-firecuda-2tb-25-5400rpm-internal-hard-drive-st2000lx001","(48 Ratings, 4.5 Average)"
"1673015054-4","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/567dfd409067c0a10aa67fc3c720c46d.256p.jpg","TEAMGROUP MP33","Capacity128 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","TEAMGROUP MP33         (3)","https://es.pcpartpicker.com/product/jWtKHx/team-mp33-128-gb-m2-2280-nvme-solid-state-drive-tm8fp6128g0c101","(3 Ratings, 5.0 Average)"
"1673015056-5","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41qAE4r0DwL.jpg","Inland QN322","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Inland QN322         (0)","https://es.pcpartpicker.com/product/Z93gXL/inland-qn322-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-1tb-qn322-nvme","null"
"1673015059-6","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/414Xk3P3TqL.jpg","Silicon Power A55","Capacity256 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 SATA","null","Silicon Power A55         (0)","https://es.pcpartpicker.com/product/mK97YJ/silicon-power-a55-256-gb-m2-2280-solid-state-drive-su256gbss3a55m28ab","null"
"1673015061-7","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/e1e5d63ef20b27baebcfe83411be60da.256p.jpg","Seagate IronWolf NAS","Capacity14 TB","Price / GB","Type7200 RPM","Cache256 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","null","Seagate IronWolf NAS         (1)","https://es.pcpartpicker.com/product/pBHRsY/seagate-ironwolf-14tb-35-7200rpm-internal-hard-drive-st14000vn0008","(1 Rating, 5.0 Average)"
"1673015063-8","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31OUniJjN+L.jpg","Samsung 860 Evo","Capacity250 GB","Price / GB","TypeSSD","Cache512 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Samsung 860 Evo         (84)","https://es.pcpartpicker.com/product/sNc48d/samsung-860-evo-250gb-25-solid-state-drive-mz-76e250bam","(84 Ratings, 4.8 Average)"
"1673015065-9","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41yDYBqpRCS.jpg","TEAMGROUP AX2","Capacity512 GB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","TEAMGROUP AX2         (1)","https://es.pcpartpicker.com/product/QdH7YJ/team-ax2-512-gb-25-solid-state-drive-t253a3512g0c101","(1 Rating, 5.0 Average)"
"1673015068-10","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","/static/forever/img/no-image.png","Samsung 990 Pro w/Heatsink","Capacity4 TB","Price / GB","TypeSSD","Cache4096 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","null","Samsung 990 Pro w/Heatsink         (0)","https://es.pcpartpicker.com/product/VWxRsY/samsung-990-pro-heatsink-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0cw","null"
"1673015070-11","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/0b30f1e41d26628bd3d0232ba6a2b6ac.256p.jpg","MSI SPATIUM M390","Capacity500 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","MSI SPATIUM M390         (0)","https://es.pcpartpicker.com/product/gp6p99/msi-spatium-m390-500-gb-m2-2280-nvme-solid-state-drive-sm390n500","null"
"1673015072-12","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/1cf7a6ffcd8a02ac129d3ad1b2f56f00.256p.jpg","Silicon Power SU128GBSS3A55S25AE","Capacity128 GB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Silicon Power SU128GBSS3A55S25AE         (12)","https://es.pcpartpicker.com/product/3GXnTW/silicon-power-128gb-25-solid-state-drive-su128gbss3a55s25ae","(12 Ratings, 4.6 Average)"
"1673015075-13","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41bVN1EMxFL.jpg","Sabrent Rocket Q","Capacity8 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Sabrent Rocket Q         (2)","https://es.pcpartpicker.com/product/qdPgXL/sabrent-rocket-q-8-tb-m2-2280-nvme-solid-state-drive-sb-rktq-8tb","(2 Ratings, 5.0 Average)"
"1673015077-14","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41oSTESsn9L.jpg","Silicon Power P34A80","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Silicon Power P34A80         (16)","https://es.pcpartpicker.com/product/VXyqqs/silicon-power-p34a80-1-tb-m2-2280-nvme-solid-state-drive-su001tbp34a80m28ab","(16 Ratings, 4.8 Average)"
"1673015079-15","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/881bf7624b22b2724a28c53ef21bfaa0.256p.jpg","Intel 750","Capacity1.2 TB","Price / GB","TypeSSD","Cache","Form FactorPCIe","InterfacePCIe x4","null","Intel 750         (0)","https://es.pcpartpicker.com/product/x9Wrxr/intel-internal-hard-drive-ssdpedmw012t401","null"
"1673015081-16","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/c6143ab8950611b6de774172c4bfcfd1.256p.jpg","TEAMGROUP T-Force Cardea Zero Z330","Capacity2 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","TEAMGROUP T-Force Cardea Zero Z330         (1)","https://es.pcpartpicker.com/product/8sZ9TW/team-t-force-cardea-zero-z330-2-tb-m2-2280-nvme-solid-state-drive-tm8fp8002t0c311","(1 Rating, 5.0 Average)"
"1673015084-17","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/aafcbf420443bb76cfe6a8c174f447db.256p.jpg","Solidigm P41 Plus","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","null","Solidigm P41 Plus         (1)","https://es.pcpartpicker.com/product/3s92FT/solidigm-p41-plus-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ssdpfknu010tzx1","(1 Rating, 5.0 Average)"
"1673015086-18","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg","Samsung 970 Evo","Capacity1 TB","Price / GB","TypeSSD","Cache1024 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Samsung 970 Evo         (308)","https://es.pcpartpicker.com/product/JLdxFT/samsung-970-evo-10tb-m2-2280-solid-state-drive-mz-v7e1t0baw","(308 Ratings, 4.9 Average)"
"1673015088-19","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/57c876b03c3fe8e5a30138b8d2481d8f.256p.jpg","Samsung 850 Evo","Capacity500 GB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Samsung 850 Evo         (425)","https://es.pcpartpicker.com/product/FrH48d/samsung-internal-hard-drive-mz75e500bam","(425 Ratings, 4.9 Average)"
"1673015091-20","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31TAUSyRkcL.jpg","SK Hynix Platinum P41","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","null","SK Hynix Platinum P41         (2)","https://es.pcpartpicker.com/product/sw2WGX/sk-hynix-platinum-p41-1-tb-m2-2280-nvme-solid-state-drive-shpp41-1000gm-2","(2 Ratings, 5.0 Average)"
"1673015093-21","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://images-na.ssl-images-amazon.com/images/I/416H4YJElJL.jpg","Intel DC P3608","Capacity4 TB","Price / GB","TypeSSD","Cache","Form FactorPCIe","InterfacePCIe x8","null","Intel DC P3608         (0)","https://es.pcpartpicker.com/product/jHzZxr/intel-internal-hard-drive-ssdpecme040t401","null"
"1673015095-22","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg","Samsung 970 Evo","Capacity500 GB","Price / GB","TypeSSD","Cache512 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Samsung 970 Evo         (429)","https://es.pcpartpicker.com/product/P4ZFf7/samsung-970-evo-500gb-m2-2280-solid-state-drive-mz-v7e500bw","(429 Ratings, 4.9 Average)"
"1673015098-23","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg","Samsung 870 QVO","Capacity2 TB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Samsung 870 QVO         (20)","https://es.pcpartpicker.com/product/R7FKHx/samsung-870-qvo-2-tb-25-solid-state-drive-mz-77q2t0bam","(20 Ratings, 4.8 Average)"
"1673015100-24","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/a0ef92b25c25a567557dbae1cb3ebed0.256p.jpg","Seagate SuperSpeed HDD","Capacity1 TB","Price / GB","TypeHybrid","Cache64 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Seagate SuperSpeed HDD         (4)","https://es.pcpartpicker.com/product/vhCwrH/seagate-internal-hard-drive-stbd1000400","(4 Ratings, 4.2 Average)"
"1673015102-25","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","/static/forever/img/no-image.png","Samsung 990 Pro","Capacity4 TB","Price / GB","TypeSSD","Cache4096 MB","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","null","Samsung 990 Pro         (0)","https://es.pcpartpicker.com/product/RKYmP6/samsung-990-pro-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0bw","null"
"1673015105-26","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://images-na.ssl-images-amazon.com/images/I/41DuK%2B9FOQL.jpg","Toshiba MQ01ABD032","Capacity320 GB","Price / GB","Type5400 RPM","Cache8 MB","Form Factor2.5""","InterfaceSATA 3.0 Gb/s","null","Toshiba MQ01ABD032         (1)","https://es.pcpartpicker.com/product/Zhfp99/toshiba-internal-hard-drive-mq01abd032","(1 Rating, 3.0 Average)"
"1673015107-27","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg","Samsung 870 QVO","Capacity1 TB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Samsung 870 QVO         (19)","https://es.pcpartpicker.com/product/37FKHx/samsung-870-qvo-1-tb-25-solid-state-drive-mz-77q1t0bam","(19 Ratings, 4.6 Average)"
"1673015109-28","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/930e4d402f4ccd5f168e702e4b73b762.256p.jpg","Samsung 850 Evo","Capacity250 GB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Samsung 850 Evo         (651)","https://es.pcpartpicker.com/product/3kL7YJ/samsung-internal-hard-drive-mz75e250bam","(651 Ratings, 4.9 Average)"
"1673015112-29","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/413qz+IDzHL.jpg","Timetec 35TTFP6PCIE","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","Timetec 35TTFP6PCIE         (1)","https://es.pcpartpicker.com/product/GPPQzy/timetec-35ttfp6pcie-1-tb-m2-2280-nvme-solid-state-drive-35ttfp6pcie-1tb","(1 Rating, 5.0 Average)"
"1673015114-30","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/51jzvyPoV6L.jpg","Seagate BarraCuda","Capacity1 TB","Price / GB","Type7200 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","null","Seagate BarraCuda         (1020)","https://es.pcpartpicker.com/product/dCxfrH/seagate-internal-hard-drive-st1000dm003","(1020 Ratings, 4.6 Average)"
"1673015116-31","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/08448343ed27d1a20cbecbcd6a4e14fc.256p.jpg","Synology SAT5200","Capacity3.84 TB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","Synology SAT5200         (0)","https://es.pcpartpicker.com/product/QfJmP6/synology-sat5200-384-tb-25-solid-state-drive-sat5200-3840g","null"
"1673015119-32","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/567dfd409067c0a10aa67fc3c720c46d.256p.jpg","TEAMGROUP MP33","Capacity512 GB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","TEAMGROUP MP33         (19)","https://es.pcpartpicker.com/product/Brvqqs/team-mp33-512-gb-m2-2280-nvme-solid-state-drive-tm8fp6512g0c101","(19 Ratings, 4.9 Average)"
"1673015121-33","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41OMsuF3ZKL.jpg","Sabrent Rocket 4 Plus","Capacity8 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","null","Sabrent Rocket 4 Plus         (0)","https://es.pcpartpicker.com/product/CTTp99/sabrent-rocket-4-plus-8-tb-m2-2280-nvme-solid-state-drive-sb-rkt4p-8tb","null"
"1673015123-34","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/6b09323ae812fa126c4d87c6899be7ed.256p.jpg","TEAMGROUP QX","Capacity15.3 TB","Price / GB","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","null","TEAMGROUP QX         (0)","https://es.pcpartpicker.com/product/HrD7YJ/teamgroup-qx-153-tb-25-solid-state-drive-t253x7153t0c101","null"
"1673015125-35","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/567dfd409067c0a10aa67fc3c720c46d.256p.jpg","TEAMGROUP MP33","Capacity1 TB","Price / GB","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","null","TEAMGROUP MP33         (23)","https://es.pcpartpicker.com/product/64MTwP/team-mp33-1-tb-m2-2280-nvme-solid-state-drive-tm8fp6001t0c101","(23 Ratings, 4.8 Average)"
"1673015128-36","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41b2c9Z1XjL.jpg","Micron 9300 Pro","Capacity7.68 TB","Price / GB€0.331","TypeSSD","Cache","Form Factor2.5""","InterfaceU.2","2539.96","Micron 9300 Pro         (0)","https://es.pcpartpicker.com/product/DwfFf7/micron-9300-pro-768-tb-25-nvme-solid-state-drive-mtfdhal7t6tdp-1at1zabyy","null"
"1673015130-37","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://images-na.ssl-images-amazon.com/images/I/314fGa5ItPL.jpg","Intel Optane 905P","Capacity960 GB","Price / GB€2.242","TypeSSD","Cache","Form FactorPCIe","InterfacePCIe x4","2151.91","Intel Optane 905P         (0)","https://es.pcpartpicker.com/product/QLx2FT/intel-optane-905p-series-960gb-pci-e-solid-state-drive-ssdped1d960gax1","null"
"1673015132-38","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","/static/forever/img/no-image.png","Hitachi Ultrastar SSD1600MM","Capacity200 GB","Price / GB€10.280","TypeSSD","Cache","Form Factor2.5""","InterfaceSAS 12.0 Gb/s","2056.00","Hitachi Ultrastar SSD1600MM         (0)","https://es.pcpartpicker.com/product/VWX2FT/hitachi-internal-hard-drive-0b32164","null"
"1673015134-39","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/ff845613cc0803168356a8450932e542.256p.jpg","Corsair MP400","Capacity8 TB","Price / GB€0.208","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","1661.50","Corsair MP400         (0)","https://es.pcpartpicker.com/product/x9gQzy/corsair-mp400-8-tb-m2-2280-nvme-solid-state-drive-cssd-f8000gbmp400","null"
"1673015137-40","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/9465e3e375c53466f85ae17bb0b3b6db.256p.jpg","Kingston DC1500M","Capacity7.68 TB","Price / GB€0.214","TypeSSD","Cache","Form Factor2.5""","InterfaceU.2","1647.10","Kingston DC1500M         (0)","https://es.pcpartpicker.com/product/9FrRsY/kingston-dc1500m-768-tb-25-solid-state-drive-sedc1500m7680g","null"
"1673015139-41","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://images-na.ssl-images-amazon.com/images/I/31sTpwMv1JL.jpg","Intel 710","Capacity300 GB","Price / GB€5.389","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 3.0 Gb/s","1616.77","Intel 710         (0)","https://es.pcpartpicker.com/product/24K7YJ/intel-internal-hard-drive-ssdsa2bz300g301","null"
"1673015141-42","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31xZAvp-SaL.jpg","Intel DC P4510","Capacity8 TB","Price / GB€0.200","TypeSSD","Cache","Form Factor2.5""","InterfaceU.2","1596.96","Intel DC P4510         (0)","https://es.pcpartpicker.com/product/RtHRsY/intel-dc-p4510-8-tb-25-nvme-solid-state-drive-ssdpe2kx080t801","null"
"1673015144-43","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41iLa5DOH-L.jpg","Gigabyte AORUS","Capacity8 TB","Price / GB€0.184","TypeSSD","Cache","Form FactorPCIe","InterfacePCIe x16","1470.78","Gigabyte AORUS         (0)","https://es.pcpartpicker.com/product/VgjNnQ/gigabyte-8-tb-pci-e-nvme-solid-state-drive-gp-asacne6800tttda","null"
"1673015146-44","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41YMGeTdzrL.jpg","Kingston DC500R","Capacity7.68 TB","Price / GB€0.182","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1399.84","Kingston DC500R         (0)","https://es.pcpartpicker.com/product/xmbCmG/kingston-dc500r-768-tb-25-solid-state-drive-sedc500r7680g","null"
"1673015148-45","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41u+-jMBZuL.jpg","Sabrent Rocket","Capacity4 TB","Price / GB€0.290","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","1159.96","Sabrent Rocket         (1)","https://es.pcpartpicker.com/product/r3RgXL/sabrent-rocket-4-tb-m2-2280-nvme-solid-state-drive-sb-rocket-4tb","(1 Rating, 5.0 Average)"
"1673015151-46","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://images-na.ssl-images-amazon.com/images/I/41ia2S%2BMwlL.jpg","Seagate 1200 SSD","Capacity800 GB","Price / GB€1.436","TypeSSD","Cache","Form Factor2.5""","InterfaceSAS 12.0 Gb/s","1148.68","Seagate 1200 SSD         (0)","https://es.pcpartpicker.com/product/RPtCmG/seagate-internal-hard-drive-st800fm0043","null"
"1673015153-47","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/3106WyDkzUL.jpg","Angelbird AV PRO XT","Capacity1 TB","Price / GB€1.121","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1120.68","Angelbird AV PRO XT         (0)","https://es.pcpartpicker.com/product/pB2bt6/angelbird-av-pro-xt-1-tb-25-solid-state-drive-avp1000xt","null"
"1673015155-48","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31N33nmS5zL.jpg","Intel DC S3710","Capacity800 GB","Price / GB€1.401","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1120.53","Intel DC S3710         (0)","https://es.pcpartpicker.com/product/YVnG3C/intel-internal-hard-drive-ssdsc2ba800g401","null"
"1673015157-49","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31-jjJpGu9L.jpg","Sabrent Rocket Q4","Capacity4 TB","Price / GB€0.278","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","1110.94","Sabrent Rocket Q4         (0)","https://es.pcpartpicker.com/product/HxMTwP/sabrent-rocket-q4-4-tb-m2-2280-nvme-solid-state-drive-sb-rktq4-4tb","null"
"1673015160-50","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41nZEjuSuPL.jpg","Seagate Nytro Enterprise","Capacity960 GB","Price / GB€1.148","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1102.29","Seagate Nytro Enterprise         (0)","https://es.pcpartpicker.com/product/VsTPxr/seagate-nytro-enterprise-960-gb-25-solid-state-drive-xa960le10063","null"
"1673015162-51","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/340060a87cb466dba877bfa1ff5c0444.256p.jpg","Seagate BarraCuda Pro","Capacity6 TB","Price / GB€0.184","Type7200 RPM","Cache128 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","1102.29","Seagate BarraCuda Pro         (1)","https://es.pcpartpicker.com/product/QHBrxr/seagate-internal-hard-drive-st6000dm001","(1 Rating, 5.0 Average)"
"1673015164-52","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31DhRSthmKL.jpg","Samsung 860 Pro","Capacity4 TB","Price / GB€0.274","TypeSSD","Cache4096 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1095.69","Samsung 860 Pro         (1)","https://es.pcpartpicker.com/product/Nd97YJ/samsung-860-pro-4tb-25-solid-state-drive-mz-76p4t0bw","(1 Rating, 4.0 Average)"
"1673015167-53","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/a13981683085f2ae1bf17dedb85f29b6.256p.jpg","Micron 5200 Ion","Capacity7.68 TB","Price / GB€0.142","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1092.02","Micron 5200 Ion         (0)","https://es.pcpartpicker.com/product/3TNgXL/micron-5200-ion-768-tb-25-solid-state-drive-mtfddak7t6qde-2av1zabyy","null"
"1673015169-54","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/41k0OeNBDGL.jpg","Kingston DC450R","Capacity7.68 TB","Price / GB€0.135","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","1036.51","Kingston DC450R         (0)","https://es.pcpartpicker.com/product/8kxbt6/kingston-dc450r-768-tb-25-solid-state-drive-sedc450r7680g","null"
"1673015171-55","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","https://m.media-amazon.com/images/I/31iFhm8PS1S.jpg","Western Digital Black SN750","Capacity4 TB","Price / GB€0.242","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","969.99","Western Digital Black SN750         (0)","https://es.pcpartpicker.com/product/tPpzK8/western-digital-black-sn750-4-tb-m2-2280-nvme-solid-state-drive-wds400t3x0c","null"
"1673015174-56","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/aa9a8f9552f3865bac1e96f5885f4118.256p.jpg","Intel Pro 5400s","Capacity1 TB","Price / GB€0.923","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","923.00","Intel Pro 5400s         (0)","https://es.pcpartpicker.com/product/vqwqqs/intel-pro-5400s-1tb-25-solid-state-drive-ssdsc2kf010x6x1","null"
"1673015176-57","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=17","//cdna.pcpartpicker.com/static/forever/images/product/c98dcc2f2b757098b2892067cf747347.256p.jpg","Seagate Archive HDD v2","Capacity5 TB","Price / GB€0.180","Type5900 RPM","Cache128 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","900.26","Seagate Archive HDD v2         (0)","https://es.pcpartpicker.com/product/9WX2FT/seagate-internal-hard-drive-st5000as0011","null"
