img_src,name,type,efficiency,wattage_W,modular,color,price,link,rating_number,rating
https://m.media-amazon.com/images/I/41J1oMG4sWL.jpg,Silverstone SX700-PT,SFX,80+ Platinum,700,Full,Black,192.89,https://es.pcpartpicker.com/product/W7CFf7/silverstone-700-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx700-pt,5,4.4
//cdna.pcpartpicker.com/static/forever/images/product/923d08dddeefd9976e03c76d149efb01.256p.jpg,SeaSonic FOCUS GX,ATX,80+ Gold,850,Full,Black,193.07,https://es.pcpartpicker.com/product/7v3mP6/seasonic-focus-gx-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850,15,5
//cdna.pcpartpicker.com/static/forever/images/product/3f102f6accc41e69cdba76a63259abae.256p.jpg,SeaSonic FOCUS Plus Platinum,ATX,80+ Platinum,850,Full,,193.41,https://es.pcpartpicker.com/product/P638TW/seasonic-focus-plus-platinum-850w-80-platinum-certified-fully-modular-atx-power-supply-ssr-850px,18,4.8
//cdna.pcpartpicker.com/static/forever/images/product/cd577b0ff2b2037227c7cbd351e53882.256p.jpg,be quiet! Dark Power Pro 11,ATX,80+ Platinum,750,Semi,,193.57,https://es.pcpartpicker.com/product/MXbkcf/be-quiet-power-supply-bn252,3,5
//cdna.pcpartpicker.com/static/forever/images/product/2e9c1e7ffca723f2acf802efc7f4e331.256p.jpg,Corsair RM1000x (2021),ATX,80+ Gold,1000,Full,Black,193.99,https://es.pcpartpicker.com/product/jRvdnQ/corsair-rm1000x-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na,31,4.8
https://m.media-amazon.com/images/I/51s30iFwevL.jpg,Corsair HX850 Platinum,ATX,80+ Platinum,850,Full,,194.9,https://es.pcpartpicker.com/product/NGCrxr/corsair-hx-platinum-850w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020138-na,13,4.5
//cdna.pcpartpicker.com/static/forever/images/product/b4a2d3f62255a1c35fd45aa3273c5173.256p.jpg,Corsair RM750x (2018),ATX,80+ Gold,750,Full,Black,199.9,https://es.pcpartpicker.com/product/79tQzy/corsair-rmx-2018-750w-80-gold-certified-fully-modular-atx-power-supply-cp-9020179-na,147,4.8
//cdna.pcpartpicker.com/static/forever/images/product/fb5ae2930e1fe2c321366e615b780cb1.256p.jpg,Asus ROG STRIX G,ATX,80+ Gold,1000,Full,Black,201.47,https://es.pcpartpicker.com/product/Nj3mP6/asus-rog-strix-g-1000-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-1000g,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/105950eeb9368cbce15269a3ab9d849b.256p.jpg,SeaSonic PRIME Ultra Gold 650,ATX,80+ Gold,650,Full,Black,202.32,https://es.pcpartpicker.com/product/7MfmP6/seasonic-prime-ultra-gold-650w-80-gold-certified-fully-modular-atx-power-supply-ssr-650gd2,1,4
//cdna.pcpartpicker.com/static/forever/images/product/31f095e495ae4555d237771d0f1ab2d4.256p.jpg,SeaSonic PRIME,ATX,80+ Gold,850,Full,Black,203.44,https://es.pcpartpicker.com/product/66rYcf/seasonic-prime-850-w-80-gold-certified-fully-modular-atx-power-supply-prime-gx-850,1,5
//cdna.pcpartpicker.com/static/forever/images/product/6873c77bf02de5a7da3da14d87f00651.256p.jpg,be quiet! Straight Power 11,ATX,80+ Platinum,1000,Full,Black,203.89,https://es.pcpartpicker.com/product/N7gQzy/be-quiet-straight-power-11-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bn644,5,5
https://m.media-amazon.com/images/I/51QrX9Q1C5L.jpg,Silverstone Strider,ATX,80+ Gold,550,Full,,204,https://es.pcpartpicker.com/product/NkYXsY/silverstone-power-supply-st55fg,10,4.7
//cdna.pcpartpicker.com/static/forever/images/product/58e6050c5e5d04efcef185e17763df4c.256p.jpg,SeaSonic PRIME PX,ATX,80+ Platinum,750,Full,Black / Silver,207.9,https://es.pcpartpicker.com/product/ZrTzK8/seasonic-prime-px-750-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-750,2,4
https://m.media-amazon.com/images/I/41X3gYXO+ZL.jpg,Asus ROG LOKI,SFX,80+ Platinum,750,Full,Black / Silver,209.79,https://es.pcpartpicker.com/product/QPM48d/asus-rog-loki-750-w-80-platinum-certified-fully-modular-sfx-power-supply-90ye00n4-b0na00,1,5
//cdna.pcpartpicker.com/static/forever/images/product/929ea39886802f2bd52cc256e5d4e128.256p.jpg,Thermaltake Toughpower Grand RGB,ATX,80+ Gold,750,Full,,217,https://es.pcpartpicker.com/product/XRmxFT/thermaltake-toughpower-grand-rgb-750w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0750fpcgus-r,25,4.7
https://m.media-amazon.com/images/I/51QvmULw-VL.jpg,Corsair HX1000 Platinum,ATX,80+ Platinum,1000,Full,,224.9,https://es.pcpartpicker.com/product/nQJkcf/corsair-hx-platinum-1000w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020139-na,27,4.8
https://m.media-amazon.com/images/I/51ZuIg7bofL.jpg,EVGA 750 B5,ATX,80+ Bronze,750,Full,Black,225,https://es.pcpartpicker.com/product/TxWBD3/evga-750-b5-750-w-80-bronze-certified-fully-modular-atx-power-supply-220-b5-0750-v1,11,5
//cdna.pcpartpicker.com/static/forever/images/product/5ccdecd73f9b346ebf46d2845dc57ac2.256p.jpg,EVGA SuperNOVA 650 G3,ATX,80+ Gold,650,Full,,225,https://es.pcpartpicker.com/product/y88H99/evga-supernova-650-g3-650-w-80-gold-certified-fully-modular-atx-power-supply-220-g3-0650,149,4.8
https://m.media-amazon.com/images/I/51Dj7dv7NoL.jpg,Silverstone Strider Platinum,ATX,80+ Platinum,550,Full,,227.47,https://es.pcpartpicker.com/product/Hgbkcf/silverstone-power-supply-st55fpt,1,5
//cdna.pcpartpicker.com/static/forever/images/product/146e02bccb8a762200dfb2ba2e555011.256p.jpg,Corsair HX1000i (2022),ATX,80+ Platinum,1000,Full,Black,228.9,https://es.pcpartpicker.com/product/XBVmP6/corsair-hx1000i-2022-1000-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020214-na,1,5
//cdna.pcpartpicker.com/static/forever/images/product/84b3aab42651adcad9a0b05ac262ea53.256p.jpg,SeaSonic FOCUS Plus 650 Gold,ATX,80+ Gold,650,Full,,230,https://es.pcpartpicker.com/product/WrNypg/seasonic-focus-plus-gold-650w-80-gold-certified-fully-modular-atx-power-supply-ssr-650fx,71,5
//cdna.pcpartpicker.com/static/forever/images/product/945f04965046a028e6b2ce5a81524d9e.256p.jpg,EVGA SuperNOVA 1000 G5,ATX,80+ Gold,1000,Full,Black / Green,232.15,https://es.pcpartpicker.com/product/7GcRsY/evga-supernova-1000-g5-1000-w-80-gold-certified-fully-modular-atx-power-supply-220-g5-1000-x1,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/ccc2df5a722475a173d1037e58ef592d.256p.jpg,SeaSonic PRIME PX,ATX,80+ Platinum,850,Full,Black / Silver,236.05,https://es.pcpartpicker.com/product/YwNgXL/seasonic-prime-px-850-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-850,1,4
//cdna.pcpartpicker.com/static/forever/images/product/11975ced01b3c1c535a64bd28be746aa.256p.jpg,Super Flower Leadex Titanium,ATX,80+ Titanium,850,Full,Black,239.9,https://es.pcpartpicker.com/product/kz7p99/super-flower-leadex-titanium-850-w-80-titanium-certified-fully-modular-btx-power-supply-sf-850f14ht,1,5
//cdna.pcpartpicker.com/static/forever/images/product/c430f6a50502b8127832d06d7e21dfa8.256p.jpg,SeaSonic PRIME,ATX,80+ Gold,1000,Full,Black,244.35,https://es.pcpartpicker.com/product/jJMTwP/seasonic-prime-1000-w-80-gold-certified-fully-modular-atx-power-supply-prime-gx-1000,2,5
//cdna.pcpartpicker.com/static/forever/images/product/0dbe2767c8cdae695c3d2bd4d039d18e.256p.jpg,be quiet! Dark Power 12,ATX,80+ Titanium,850,Full,Black,245.95,https://es.pcpartpicker.com/product/XDxRsY/be-quiet-dark-power-12-850-w-80-titanium-certified-fully-modular-atx-power-supply-bn315,2,5
//cdna.pcpartpicker.com/static/forever/images/product/cef75cc13e5787d7c29760e9087905f4.256p.jpg,EVGA SuperNOVA 650 G+,ATX,80+ Gold,650,Full,Black,248,https://es.pcpartpicker.com/product/8PJtt6/evga-supernova-650-g-650-w-80-gold-certified-fully-modular-atx-power-supply-120-gp-0650-x1,32,4.9
//cdna.pcpartpicker.com/static/forever/images/product/fcd9fccfad52e1a64842df93df303d05.256p.jpg,Fractal Design Ion+ 860P,ATX,80+ Platinum,860,Full,Black,253.99,https://es.pcpartpicker.com/product/npGnTW/fractal-design-ion-860-w-80-platinum-certified-fully-modular-at-power-supply-fd-psu-ionp-860p-bk,14,4.9
