img_src,name,socket,size,memory_max_GB,memory_slots,color,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/cb4e876cae7731cf99bec692e4722f08.256p.jpg,Asus ROG STRIX Z490-A GAMING,LGA1200,ATX,128,4,Black / Silver,358.15,https://es.pcpartpicker.com/product/N3MTwP/asus-rog-strix-z490-a-gaming-atx-lga1200-motherboard-rog-strix-z490-a-gaming,6,4.8
//cdna.pcpartpicker.com/static/forever/images/product/76e7c8c0e2dc42ca53d84ae41585dd5f.256p.jpg,ASRock X470 Taichi Ultimate,AM4,ATX,64,4,Silver / Black,356.06,https://es.pcpartpicker.com/product/LkWfrH/asrock-x470-taichi-ultimate-atx-am4-motherboard-x470-taichi-ultimate,3,3.3
//cdna.pcpartpicker.com/static/forever/images/product/ac3a77e0e11d610407a9ef39970b00d7.256p.jpg,Gigabyte X670 AORUS ELITE AX (rev. 1.0),AM5,ATX,128,4,Black,354.82,https://es.pcpartpicker.com/product/m7mmP6/gigabyte-x670-aorus-elite-ax-rev-10-atx-am5-motherboard-x670-aorus-elite-ax-rev-10,4,4
https://m.media-amazon.com/images/I/41h6pPmdmPL.jpg,Gigabyte X570 AORUS PRO,AM4,ATX,128,4,Black / Silver,354,https://es.pcpartpicker.com/product/fHxbt6/gigabyte-x570-aorus-pro-atx-am4-motherboard-x570-aorus-pro,7,4.7
//cdna.pcpartpicker.com/static/forever/images/product/9272c6b3390c5ae9d4aecfee85bb45fa.256p.jpg,Asus Pro WS X570-ACE,AM4,ATX,128,4,Black,353.9,https://es.pcpartpicker.com/product/n7PgXL/asus-pro-ws-x570-ace-atx-am4-motherboard-pro-ws-x570-ace,5,3.8
//cdna.pcpartpicker.com/static/forever/images/product/ba4a0d90db4bc09042fcd2b86d4182ce.256p.jpg,Asus Z590 WIFI GUNDAM EDITION,LGA1200,ATX,128,4,Black / White,352.05,https://es.pcpartpicker.com/product/FfmmP6/asus-z590-wifi-gundam-edition-atx-lga1200-motherboard-z590-wifi-gundam-edition,2,5
//cdna.pcpartpicker.com/static/forever/images/product/8e75b0858ab998bd0664f5fb1912c9a0.256p.jpg,Asus ROG Strix X570-I Gaming,AM4,Mini ITX,64,2,Black,351.62,https://es.pcpartpicker.com/product/NqsnTW/asus-rog-strix-x570-i-gaming-mini-itx-am4-motherboard-rog-strix-x570-i-gaming,63,4.5
//cdna.pcpartpicker.com/static/forever/images/product/98ff551c0d220f3b6dcf9518649911d7.256p.jpg,MSI MAG Z690 TOMAHAWK WIFI,LGA1700,ATX,128,4,Black / Silver,350.48,https://es.pcpartpicker.com/product/nk8bt6/msi-mag-z690-tomahawk-wifi-atx-lga1700-motherboard-mag-z690-tomahawk-wifi,4,4.5
https://m.media-amazon.com/images/I/51VrAy4J9BL.jpg,Asus TUF GAMING X670E-PLUS WIFI,AM5,ATX,128,4,Black / Orange,349.9,https://es.pcpartpicker.com/product/8yjBD3/asus-tuf-gaming-x670e-plus-wifi-atx-am5-motherboard-tuf-gaming-x670e-plus-wifi,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/ba20600286bf8f74ce71df37ed8aef65.256p.jpg,Gigabyte Z790 AORUS ELITE AX,LGA1700,ATX,128,4,Black,345.93,https://es.pcpartpicker.com/product/T2H7YJ/gigabyte-z790-aorus-elite-ax-atx-lga1700-motherboard-z790-aorus-elite-ax,2,5
