img_src,name,core_count,core_clock_GHz,boost_clock_GHz,tdp_W,integrated_graphics,price,link,socket,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,AMD Ryzen 7 3700X,8,3.6,4.4,65,,298.08,https://es.pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,AM4,618,4.9
//cdna.pcpartpicker.com/static/forever/images/product/30a49f42fca8cbf7e1627bf13d37a6e7.256p.jpg,Intel Core i7-10700KF,8,3.8,5.1,125,,299.63,https://es.pcpartpicker.com/product/sT3mP6/intel-core-i7-10700kf-38-ghz-8-core-processor-bx8070110700kf,LGA1200,6,4.8
//cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg,Intel Core i5-12600K,10,3.7,4.9,125,Intel UHD Graphics 770,299.87,https://es.pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,LGA1700,98,4.9
//cdna.pcpartpicker.com/static/forever/images/product/066a1b8f33dd5d26a14a4a76eb254032.256p.jpg,Intel Core i5-8400,6,2.8,4,65,Intel UHD Graphics 630,300.82,https://es.pcpartpicker.com/product/LHYWGX/intel-core-i5-8400-28ghz-6-core-processor-bx80684i58400,LGA1151,82,4.8
//cdna.pcpartpicker.com/static/forever/images/product/81283e72ef71a981049b8a1b7dc9c50e.256p.jpg,Intel Core i5-750,4,2.66,,95,,302.86,https://es.pcpartpicker.com/product/CHFPxr/intel-cpu-bx80605i5750,LGA1156,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/8d5a39d0af57bddb57731195a8c1d58c.256p.jpg,Intel Core i7-11700,8,2.5,4.9,65,Intel UHD Graphics 750,303.64,https://es.pcpartpicker.com/product/7RTp99/intel-core-i7-11700-25-ghz-8-core-processor-bx8070811700,LGA1200,5,4.8
//cdna.pcpartpicker.com/static/forever/images/product/41358d31a00cc8fb673bfa7716ea9498.256p.jpg,Intel Core i7-11700K,8,3.6,5,125,Intel UHD Graphics 750,305,https://es.pcpartpicker.com/product/VW3gXL/intel-core-i7-11700k-36-ghz-8-core-processor-bx8070811700k,LGA1200,29,4.9
https://m.media-amazon.com/images/I/51UxOzy0XpL.jpg,Intel Core i5-2400,4,3.1,,95,Intel HD Graphics 2000,314.67,https://es.pcpartpicker.com/product/jxJwrH/intel-cpu-bx80623i52400,LGA1155,17,4.8
//cdna.pcpartpicker.com/static/forever/images/product/aa134167a714bcf301976f148b735237.256p.jpg,Intel Core i5-8600K,6,3.6,4.3,95,Intel UHD Graphics 630,315,https://es.pcpartpicker.com/product/Mr2rxr/intel-core-i5-8600k-36ghz-6-core-processor-bx80684i58600k,LGA1151,142,4.9
//cdna.pcpartpicker.com/static/forever/images/product/6a40f9732bef504af112c33a980482b2.256p.jpg,Intel Core i7-10700K,8,3.8,5.1,125,Intel UHD Graphics 630,317.26,https://es.pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k,LGA1200,99,4.8
//cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg,AMD Ryzen 7 2700X,8,3.7,4.3,105,,317.64,https://es.pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox,AM4,356,4.9
https://m.media-amazon.com/images/I/51-cY4ovqNL.jpg,Intel Core 2 Duo E4600,2,2.4,,65,,318.37,https://es.pcpartpicker.com/product/vMH323/intel-cpu-bx80557e4600,LGA775,1,4
//cdna.pcpartpicker.com/static/forever/images/product/0817a8a69b3fa53b911056cd5c01262e.256p.jpg,Intel Core i7-4770K,4,3.5,3.9,84,Intel HD Graphics 4600,325,https://es.pcpartpicker.com/product/yT2kcf/intel-cpu-bx80646i74770k,LGA1150,466,4.9
//cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg,Intel Core i7-8700K,6,3.7,4.7,95,Intel UHD Graphics 630,325,https://es.pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,LGA1151,305,4.9
//cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,AMD Ryzen 5 2600,6,3.4,3.9,65,,325,https://es.pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,AM4,498,4.9
//cdna.pcpartpicker.com/static/forever/images/product/320f71912f65606aa2075161dc798c3d.256p.jpg,AMD Ryzen 5 2400G,4,3.6,3.9,65,Radeon Vega 11,326.23,https://es.pcpartpicker.com/product/FGPKHx/amd-ryzen-5-2400g-36ghz-quad-core-processor-yd2400c5fbbox,AM4,81,4.8
//cdna.pcpartpicker.com/static/forever/images/product/f3ce94aa244dd18d676b1f63f20001cd.256p.jpg,Intel Core i7-8700,6,3.2,4.6,65,Intel UHD Graphics 630,330,https://es.pcpartpicker.com/product/C9hj4D/intel-core-i7-8700-32ghz-6-core-processor-bx80684i78700,LGA1151,56,4.9
//cdna.pcpartpicker.com/static/forever/images/product/614a9c530cce56d1fafbc5ba97920ab1.256p.jpg,Intel Core i7-6700K,4,4,4.2,91,Intel HD Graphics 530,330,https://es.pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,LGA1151,508,4.9
//cdna.pcpartpicker.com/static/forever/images/product/d151778af9f52d6ab1f9475a0ae84dc0.256p.jpg,Intel Core i5-13600KF,14,3.5,5.1,125,,332.43,https://es.pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,LGA1700,4,5
https://m.media-amazon.com/images/I/51D3J+33JwL.jpg,Intel Core i7-4790K,4,4,4.4,88,Intel HD Graphics 4600,338.58,https://es.pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,LGA1150,564,4.9
//cdna.pcpartpicker.com/static/forever/images/product/a12eab97aff3815b6707805450266034.256p.jpg,AMD Ryzen 7 1800X,8,3.6,4,95,,340.44,https://es.pcpartpicker.com/product/7qyxFT/amd-ryzen-7-1800x-36ghz-8-core-processor-yd180xbcaewof,AM4,52,4.9
//cdna.pcpartpicker.com/static/forever/images/product/dfb011931e97f85c79165ed9e97aec59.256p.jpg,AMD Threadripper 1920X,12,3.5,4,180,,340.44,https://es.pcpartpicker.com/product/cRDzK8/amd-threadripper-1920x-35ghz-12-core-processor-yd192xa8aewof,sTR4,7,4.9
//cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.256p.jpg,Intel Core i5-13600K,14,3.5,5.1,125,Intel UHD Graphics 770,340.8,https://es.pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,LGA1700,23,5
//cdna.pcpartpicker.com/static/forever/images/product/04f08a1dee17429cdf0a6021ebe5351d.256p.jpg,Intel Core i5-9400F,6,2.9,4.1,65,,344.98,https://es.pcpartpicker.com/product/w9VD4D/intel-core-i5-9400f-29-ghz-6-core-oemtray-processor-cm8068403358819,LGA1151,1,5
//cdna.pcpartpicker.com/static/forever/images/product/1d6c5691988047da895d68961c33fe95.256p.jpg,Intel Core i7-12700F,12,2.1,4.9,65,,345.31,https://es.pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f,LGA1700,7,4.7
