img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
https://m.media-amazon.com/images/I/414shuzngHL.jpg,Toshiba X300,6 TB,0.079,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,474.25,https://es.pcpartpicker.com/product/89Nypg/toshiba-internal-hard-drive-hdwe160xzsta,6,4.7
https://m.media-amazon.com/images/I/31DhRSthmKL.jpg,Samsung 860 Pro,2 TB,0.232,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,463.13,https://es.pcpartpicker.com/product/nxsmP6/samsung-860-pro-2tb-25-solid-state-drive-mz-76p2t0bw,5,4.8
//cdna.pcpartpicker.com/static/forever/images/product/e4c4f221d08b24b80ced86464ce95355.256p.jpg,Seagate IronWolf Pro,18 TB,0.025,7200 RPM,,"3.5""",SATA 6.0 Gb/s,458.9,https://es.pcpartpicker.com/product/WRdrxr/seagate-ironwolf-pro-18-tb-35-7200rpm-internal-hard-drive-st18000ne000,1,4
//cdna.pcpartpicker.com/static/forever/images/product/5353776f9a75b176f47cc8e4c179307d.256p.jpg,Seagate Exos X14,12 TB,0.037,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,449.99,https://es.pcpartpicker.com/product/fmfhP6/seagate-exos-x14-12-tb-35-7200rpm-internal-hard-drive-st12000nm0008,1,5
//cdna.pcpartpicker.com/static/forever/images/product/45a45f551717b78af68156359b24e96a.256p.jpg,Western Digital Blue,4 TB,0.112,SSD,,"2.5""",SATA 6.0 Gb/s,449,https://es.pcpartpicker.com/product/xbtKHx/western-digital-blue-4-tb-25-solid-state-drive-wds400t2b0a,2,5
https://images-na.ssl-images-amazon.com/images/I/51yXEEe8p1L.jpg,PNY CS2211,480 GB,0.935,SSD,,"2.5""",SATA 6.0 Gb/s,448.82,https://es.pcpartpicker.com/product/TrDzK8/pny-internal-hard-drive-ssd7cs2211480rb,3,4.3
//cdna.pcpartpicker.com/static/forever/images/product/a13bfec812274c1c800c1bfabf8d9df2.256p.jpg,Transcend TS1TSSD370S,1 TB,0.448,SSD,,"2.5""",SATA 6.0 Gb/s,448.37,https://es.pcpartpicker.com/product/wzYWGX/transcend-internal-hard-drive-ts1tssd370s,1,5
//cdna.pcpartpicker.com/static/forever/images/product/12d2672d2cebdf6b0397c5a19b6e6743.256p.jpg,Toshiba N300,6 TB,0.075,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,447.65,https://es.pcpartpicker.com/product/WCYLrH/toshiba-n300-6-tb-35-7200rpm-internal-hard-drive-hdwn160xzsta,1,4
//cdna.pcpartpicker.com/static/forever/images/product/807f972fa748821c508dcc9f1086c654.256p.jpg,Seagate BarraCuda 510,1 TB,0.447,SSD,,M.2,M.2 PCIe 3.0 X4,446.64,https://es.pcpartpicker.com/product/fW9tt6/seagate-barracuda-510-1-tb-m2-2280-nvme-solid-state-drive-zp1000cm3a001,6,4.8
//cdna.pcpartpicker.com/static/forever/images/product/db0d1af131735d64530a5c0fdaa5fcf8.256p.jpg,Seagate ST1000DM004,1 TB,0.442,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,441.8,https://es.pcpartpicker.com/product/pJbkcf/seagate-internal-hard-drive-st1000dm004,1,5
