img_src,name,type,color,side_panel,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/9ac1c739c0e4fde8b86812bbcca07f84.256p.jpg,Silverstone SG13,Mini ITX ,Black,,60.33,https://es.pcpartpicker.com/product/PvVBD3/silverstone-case-sstsg13bq,11,4.7
https://m.media-amazon.com/images/I/41B8XZ4Wx5L.jpg,Cooler Master MasterBox Lite 3.1,MicroATX Mid ,Black / Red,Tempered Glass,60.51,https://es.pcpartpicker.com/product/CdndnQ/cooler-master-masterbox-lite-31-microatx-mid-tower-case-mcw-l3s3-kgnn-00,11,3.2
https://m.media-amazon.com/images/I/315mLDy8BvL.jpg,SHARKOON S1000,MicroATX Mini ,Black,,60.58,https://es.pcpartpicker.com/product/qcWBD3/sharkoon-s1000-microatx-mini-tower-case-s1000,1,5
//cdna.pcpartpicker.com/static/forever/images/product/11fe2142aeb0ddc4b75d46b0afff6c49.256p.jpg,KOLINK STRONGHOLD,ATX Mid ,Black,Tinted Tempered Glass,61.15,https://es.pcpartpicker.com/product/pYPKHx/kolink-stronghold-atx-mid-tower-case-stronghold,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg,Cooler Master MasterBox Q300L,MicroATX Mini ,Black,Acrylic,61.99,https://es.pcpartpicker.com/product/rnGxFT/cooler-master-masterbox-q300l-microatx-mini-tower-case-mcb-q300l-kann-s00,145,4.2
//cdna.pcpartpicker.com/static/forever/images/product/f7c4305b0916aca5300958d8cb37ae2d.256p.jpg,Antec Dark Phantom DP301M,MicroATX Mid ,Black,Acrylic,62.6,https://es.pcpartpicker.com/product/mT66Mp/antec-dark-phantom-dp301m-microatx-mid-tower-case-dp301m,10,4.6
//cdna.pcpartpicker.com/static/forever/images/product/84a80aaabf43861cebcaefac86655f70.256p.jpg,Aerocool Aero One Mini Eclipse,MicroATX Mini ,White / Black,Tempered Glass,62.9,https://es.pcpartpicker.com/product/f42bt6/aerocool-aero-one-mini-eclipse-microatx-mini-tower-case-accs-pb1814321,1,4
https://m.media-amazon.com/images/I/41AGm4P9pNL.jpg,Cooler Master Force 500,ATX Mid ,Black,,64.52,https://es.pcpartpicker.com/product/qTGkcf/cooler-master-case-for500kkn1,1,4
//cdna.pcpartpicker.com/static/forever/images/product/5b42ebbaa212433b1865068a15b7e2e1.256p.jpg,Silverstone FARA H1M,MicroATX Mini ,White,Tempered Glass,64.86,https://es.pcpartpicker.com/product/gs8bt6/silverstone-fara-h1m-microatx-mini-tower-case-sst-fah1mw-g,1,4
https://m.media-amazon.com/images/I/51wcVI9z7UL.jpg,Corsair Carbide Series 100R,ATX Mid ,Black,Acrylic,64.9,https://es.pcpartpicker.com/product/JwVBD3/corsair-case-cc9011075ww,51,4.3
//cdna.pcpartpicker.com/static/forever/images/product/a745a30db8299467398fb7ff88dc07ba.256p.jpg,Deepcool MACUBE 310,ATX Mid ,Black,Tempered Glass,64.98,https://es.pcpartpicker.com/product/wshmP6/deepcool-gamer-storm-macube-310-atx-mid-tower-case-macube310-bk,3,3.3
//cdna.pcpartpicker.com/static/forever/images/product/a1118ca1b06f85905bead9f4bcc8b486.256p.jpg,Zalman S4 Plus,ATX Mid ,Black,Tinted Acrylic,65.42,https://es.pcpartpicker.com/product/kxzFf7/zalman-s4-plus-atx-mid-tower-case-s4-plus,2,4
//cdna.pcpartpicker.com/static/forever/images/product/1ee4eb7d40aaf6bb43c86b4865407c2d.256p.jpg,Fractal Design Focus G,ATX Mid ,Black,Acrylic,65.47,https://es.pcpartpicker.com/product/ZHmxFT/fractal-design-focus-g-black-atx-mid-tower-case-fd-ca-focus-bk-w,61,4.3
//cdna.pcpartpicker.com/static/forever/images/product/1dee452a089a7a6f0dbd09b7f0701983.256p.jpg,Gigabyte C200 Glass,ATX Mid ,Black,Tempered Glass,65.65,https://es.pcpartpicker.com/product/2t6qqs/gigabyte-c200-glass-atx-mid-tower-case-gb-c200g,3,3.7
