img_src,name,chipset,memory_GB,core_clock_MHz,boost_clock_MHz,color,length_mm,price,link,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/1469397331619aaea2468a234dc673ab.256p.jpg,MSI Radeon RX 6900 XT GAMING X TRIO 16G,Radeon RX 6900 XT,16,1825,2340,Silver / Black,324,947.9,https://es.pcpartpicker.com/product/gKnypg/msi-radeon-rx-6900-xt-16-gb-gaming-x-trio-video-card-rx-6900-xt-gaming-x-trio-16g,2,5
//cdna.pcpartpicker.com/static/forever/images/product/8e480b3c11aa94c46a3e95ee22f7d132.256p.jpg,PowerColor Red Devil Ultimate,Radeon RX 6900 XT,16,1825,2425,Black,320,949.78,https://es.pcpartpicker.com/product/pRgFf7/powercolor-radeon-rx-6900-xt-16-gb-red-devil-ultimate-video-card-axrx-6900xtu-16gbd6-3dheoc,5,5
//cdna.pcpartpicker.com/static/forever/images/product/2dcda18f90d0057a4a3ef1625a841c90.256p.jpg,ASRock Phantom Gaming D OC,Radeon RX 6800 XT,16,1825,,Black / Silver,330,952.94,https://es.pcpartpicker.com/product/XPjNnQ/asrock-radeon-rx-6800-xt-16-gb-phantom-gaming-d-oc-video-card-rx6800xt-pgd-16go,10,4.7
//cdna.pcpartpicker.com/static/forever/images/product/b5be99688b9beec0ee0437ea4810e239.256p.jpg,Asus TUF GAMING,GeForce RTX 3070 Ti,8,1575,1800,Black / Silver,300,986.4,https://es.pcpartpicker.com/product/Dfnypg/asus-geforce-rtx-3070-ti-8-gb-tuf-gaming-video-card-tuf-rtx3070ti-8g-gaming,1,4
//cdna.pcpartpicker.com/static/forever/images/product/ef7f384aa72bfb4f212ac0c9f8cca06b.256p.jpg,Asus TUF GAMING OC,Radeon RX 6900 XT,16,1825,2340,Black,320,989,https://es.pcpartpicker.com/product/LRNgXL/asus-radeon-rx-6900-xt-16-gb-tuf-gaming-oc-video-card-tuf-rx6900xt-o16g-gaming,4,5
//cdna.pcpartpicker.com/static/forever/images/product/d712db630de89c34dc8c068f42cf83b0.256p.jpg,MSI GAMING X TRIO,GeForce RTX 3070 Ti,8,1575,1830,Black / Silver,323,989.9,https://es.pcpartpicker.com/product/JjGbt6/msi-geforce-rtx-3070-ti-8-gb-gaming-x-trio-video-card-geforce-rtx-3070-ti-gaming-x-trio-8g,9,4.8
//cdna.pcpartpicker.com/static/forever/images/product/400829300d9b7ae3488f8b1664612e3f.256p.jpg,EVGA Superclocked,GeForce GTX 780 Ti,3,980,1046,Black / Silver,266,998,https://es.pcpartpicker.com/product/3GK7YJ/evga-video-card-03gp42883kr,32,5
//cdna.pcpartpicker.com/static/forever/images/product/cc01279fd806bdaef108882ee7e2c24a.256p.jpg,EVGA Superclocked,GeForce GTX 780,3,941,,Black / Silver,266,998,https://es.pcpartpicker.com/product/BtMFf7/evga-video-card-03gp42783kr,30,4.9
//cdna.pcpartpicker.com/static/forever/images/product/7ac69836ef5d79a6433836d954cfec23.256p.jpg,EVGA 03G-P4-2881-KR,GeForce GTX 780 Ti,3,875,928,Black / Silver,266,998,https://es.pcpartpicker.com/product/FLtCmG/evga-video-card-03gp42881kr,11,5
https://m.media-amazon.com/images/I/41ZbCUEHH5S.jpg,EVGA 03G-P4-2781-KR,GeForce GTX 780,3,863,,Black / Silver,266,998,https://es.pcpartpicker.com/product/jQphP6/evga-video-card-03gp42781kr,14,4.9
//cdna.pcpartpicker.com/static/forever/images/product/f619e1f2284e05bc9492a225a41cc497.256p.jpg,PNY XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3070,8,1500,1725,Black / Silver,294,999,https://es.pcpartpicker.com/product/B3LwrH/pny-geforce-rtx-3070-8-gb-xlr8-gaming-revel-epic-x-rgb-video-card-vcg30708tfxppb,4,5
https://m.media-amazon.com/images/I/31CPVfoBTrL.jpg,Asus TUF GAMING OC V2,GeForce RTX 3080 10GB LHR,10,1440,1815,Black,300,1029.53,https://es.pcpartpicker.com/product/p3BG3C/asus-geforce-rtx-3080-lhr-10-gb-tuf-gaming-oc-v2-video-card-tuf-rtx3080-o10g-v2-gaming,2,5
https://m.media-amazon.com/images/I/41C1LAJyPLL.jpg,Sapphire PULSE,Radeon RX 6800,16,1700,,Black / Red,303,1033.06,https://es.pcpartpicker.com/product/FHwkcf/sapphire-radeon-rx-6800-16-gb-pulse-video-card-11305-02-20g,4,5
//cdna.pcpartpicker.com/static/forever/images/product/a58b5b67ee0c350cc70473346b2350ae.256p.jpg,Asus TUF GAMING OC,Radeon RX 6700 XT,12,2321,,Black,322,1054.39,https://es.pcpartpicker.com/product/mL2WGX/asus-radeon-rx-6700-xt-12-gb-tuf-gaming-oc-video-card-tuf-rx6700xt-o12g-gaming,2,5
//cdna.pcpartpicker.com/static/forever/images/product/5a0f8a65329f7778b222b5c56da43bc8.256p.jpg,PNY VCQRTX4000-PB,Quadro RTX 4000,8,1005,1545,Silver / Black,267,1060.29,https://es.pcpartpicker.com/product/k866Mp/pny-quadro-rtx-4000-8-gb-video-card-vcqrtx4000-pb,3,4.7
https://m.media-amazon.com/images/I/41RUDRIAYoS.jpg,Gigabyte AORUS MASTER,GeForce RTX 3070,8,1500,1845,Black,290,1071.48,https://es.pcpartpicker.com/product/dVxbt6/gigabyte-geforce-rtx-3070-8-gb-aorus-master-video-card-gv-n3070aorus-m-8gd,15,4.9
//cdna.pcpartpicker.com/static/forever/images/product/293f0a08d502d6c851a9bf8dab23b8ef.256p.jpg,Gigabyte GAMING OC,Radeon RX 6800,16,1815,2155,Silver / Black,286,1072,https://es.pcpartpicker.com/product/Nw9tt6/gigabyte-radeon-rx-6800-16-gb-gaming-oc-video-card-gv-r68gaming-oc-16gd,2,5
//cdna.pcpartpicker.com/static/forever/images/product/a683ec690989f745fa3bd1494a384bd6.256p.jpg,XFX Speedster SWFT 210,Radeon RX 6600 XT,8,2092,2589,Black,241,1081.67,https://es.pcpartpicker.com/product/tWJgXL/xfx-radeon-rx-6600-xt-8-gb-speedster-swft-210-video-card-rx-66xt8dfdq,5,3.8
